seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,mean_reward,std_reward,upper,lower,timesteps
-1.5358362096497131,-1.6199792819136007,-1.7211370258305927,-1.6071775009938458,-1.5559136131939229,-1.658279001209122,-1.5016272890052622,-1.5906802479614708,-1.5138059587101984,-1.6652414689406947,-1.5969677597408423,0.8702318451817342,-0.7267359145591081,-2.467199604922576,9700
-1.5323345874416814,-1.63889875472728,-1.71675746846752,-1.6283386607214831,-1.5528178344009689,-1.6578144482138353,-1.4925108819030524,-1.5922128536940254,-1.5557668428779001,-1.6703145522402547,-1.6037766884688003,0.8807061647179434,-0.7230705237508568,-2.484482853186743,9800
-1.5483013086576678,-1.6705211087431922,-1.6723171681717686,-1.6571799521095847,-1.5516687846391102,-1.6613316806769243,-1.512829454271492,-1.5940618770849087,-1.5129036007975676,-1.6604053456910282,-1.6041520280843244,0.8776576807151466,-0.7264943473691777,-2.4818097087994704,9900
-1.5841174134228664,-1.6910602876270104,-1.6932210039677318,-1.649210943323555,-1.5261402698891147,-1.673340820394949,-1.5069264534208193,-1.5792893788907443,-1.5046389371391218,-1.6517821132994828,-1.6059727621375395,0.8716737574421802,-0.7342990046953591,-2.4776465195797193,10000
-1.562320700098668,-1.708652449414424,-1.7453173872209606,-1.6268912116138292,-1.5111218887559914,-1.6932116333881562,-1.4904466994653196,-1.6016561307687152,-1.5567141353498815,-1.640605530225663,-1.6136937766301611,0.8839421820824626,-0.7297515945476981,-2.497635958712623,10100
-1.5584048113301234,-1.725473873958616,-1.738490935708238,-1.6178878588254781,-1.5066688767151908,-1.7013302526026572,-1.495915905067151,-1.630654207854717,-1.5144532955784786,-1.7125621996224984,-1.6201842217263152,0.8848374593864479,-0.7353467623398667,-2.5050216811127624,10200
-1.5440396905625682,-1.7368253279996722,-1.7022330204522598,-1.5565887603640116,-1.4632199374733725,-1.712807859904013,-1.4893494565621006,-1.6187666226080484,-1.5035598745232308,-1.6845825105041081,-1.6011973060953388,0.8803957477549753,-0.7208015583403631,-2.4815930538503133,10300
-1.563173073436542,-1.7271355580379255,-1.6876716426616456,-1.5511522489810565,-1.497583362224969,-1.657383205027698,-1.4532017610603254,-1.6043959705612312,-1.5547497536672086,-1.6883149832262285,-1.5984761558884835,0.8826268586190217,-0.7158492972694611,-2.4811030145075046,10400
-1.5782122640381082,-1.679779403610749,-1.648408560509313,-1.556195206679363,-1.4837227710371692,-1.6492427025278662,-1.489817008787586,-1.5479894376375551,-1.510237210433322,-1.6519784834416984,-1.5795583048702735,0.879191959912454,-0.7003663449578187,-2.458750264782727,10500
-1.578152171268499,-1.6235516876083347,-1.6180580152161943,-1.6209903905895575,-1.5027740252051265,-1.629277177987953,-1.4956571892967023,-1.540990354724852,-1.4839564152601208,-1.6320093881888922,-1.5725416815346238,0.8821704105310506,-0.6903712710035722,-2.454712092065674,10600
-1.569998797309365,-1.6066298189331736,-1.5982613092191051,-1.6038905788023325,-1.4971748535974825,-1.6747140187286096,-1.5054856819527287,-1.5630716635622697,-1.4924293539246358,-1.6308013510690051,-1.5742457427098713,0.8879267121079809,-0.6863190306018895,-2.4621724548178516,10700
-1.6293452920411458,-1.611376253876372,-1.5817069707008529,-1.577523216276453,-1.5252156044944192,-1.6272408811172283,-1.498684951895667,-1.5886544539640792,-1.5315255542964845,-1.5888044063493707,-1.5760077585012078,0.8897139140530258,-0.686293844448181,-2.465721672554233,10800
-1.6134348410434303,-1.6420622053500256,-1.5754492478579454,-1.5784196268084683,-1.5411253589006604,-1.64372583398699,-1.4956358154063836,-1.6091435708206339,-1.5391269412712922,-1.6032074776846479,-1.5841330919130483,0.89463359599674,-0.6894994959163074,-2.478766687909787,10900
-1.5871260396562463,-1.6465841460749908,-1.5667300526468362,-1.6108773954458784,-1.5403558897564216,-1.729062562377355,-1.507859541739076,-1.623553954949887,-1.538333881016075,-1.601956999315451,-1.5952440462978223,0.906050236601101,-0.6891938096967205,-2.501294282898922,11000
-1.564621675726717,-1.6100084956145844,-1.531812130416971,-1.607453952086515,-1.5586019695355713,-1.7513531428582108,-1.4664095326675755,-1.6658629343247235,-1.5202427948606987,-1.6096021130402065,-1.588596874113178,0.9159914214496553,-0.6726054526635218,-2.5045882955628325,11100
-1.5666684876167962,-1.6220654624718631,-1.5050771076319602,-1.6271875744920226,-1.5549201791727378,-1.8065741677211236,-1.4987811267468185,-1.6437039151237585,-1.5599729824846253,-1.6410250324688982,-1.602597603593061,0.926038911772968,-0.6765586918200921,-2.5286365153660277,11200
-1.5524059671277481,-1.5984608388590322,-1.5165600931753958,-1.6210550233950827,-1.5490216333643796,-1.8320594292360226,-1.4773828263678295,-1.6454214904230255,-1.5787851315591919,-1.5958805785896046,-1.5967033012097318,0.9169133614173371,-0.6797899397923939,-2.513616662627068,11300
-1.5437891975465337,-1.6336621568106307,-1.510598518627815,-1.634705509387841,-1.5842319797863584,-1.8302443461504172,-1.5033251276247683,-1.5822237956653873,-1.583620936845247,-1.5964225132564243,-1.6002824081701428,0.9126552040727117,-0.6876272040974304,-2.5129376122428537,11400
-1.5347423355552308,-1.6265038980111106,-1.5050099642271246,-1.655241986544483,-1.582416823263698,-1.8751700204871184,-1.471229019415683,-1.5399141918119597,-1.6070100504597278,-1.5983062287945524,-1.5995544518570695,0.9117346136887511,-0.6878198381683176,-2.511289065545819,11500
-1.4727205752400332,-1.6264639318545862,-1.4430553069395884,-1.68412723721222,-1.561313842166001,-1.89304356318823,-1.5262132573689646,-1.5257369245312844,-1.629624852461179,-1.6229490521237941,-1.5985248543085886,0.9148449291187885,-0.6836799251897995,-2.5133697834273763,11600
-1.5005650874409804,-1.6419211488008627,-1.3846495629573403,-1.6757706349108377,-1.6157040487081684,-1.8882014170453536,-1.5414589519527366,-1.529318238784459,-1.6142229533464376,-1.5216184038655953,-1.5913430447812775,0.8996875073645719,-0.691655537416705,-2.4910305521458485,11700
-1.5584038325072527,-1.624885743338664,-1.3636954092390783,-1.6764318731408219,-1.606674824954093,-1.9488410761917023,-1.521180278788506,-1.5262359338088247,-1.614897128395246,-1.596975431942791,-1.6038221532306982,0.9218528592527057,-0.6819692939779921,-2.525675012483403,11800
