number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_lr,params_memory_limit,params_noise_std,params_noise_type,params_normalize_observations,params_normalize_returns,state
42,0.8657711148262024,2020-06-20 22:35:39.629315,2020-06-21 05:54:55.826123,0 days 07:19:16.196808000,256,0.98,0.0005731007486738791,100000,0.32435977138300726,normal,True,True,COMPLETE
43,0.9546195268630981,2020-06-20 22:38:56.729473,2020-06-21 03:09:52.129804,0 days 04:30:55.400331000,128,0.999,0.0005597078817429418,100000,0.3110838156565484,normal,True,True,COMPLETE
44,0.5376682877540588,2020-06-20 22:41:01.906803,2020-06-21 01:27:19.395152,0 days 02:46:17.488349000,64,0.98,0.0003251560359000081,100000,0.7187455992694297,normal,True,True,COMPLETE
45,0.32267364859580994,2020-06-20 22:41:09.569020,2020-06-21 01:27:13.790195,0 days 02:46:04.221175000,64,0.98,0.00040678557618085525,100000,0.7132843198501453,normal,True,True,COMPLETE
46,1.7057020664215088,2020-06-20 22:45:53.264360,2020-06-21 05:57:16.637023,0 days 07:11:23.372663000,256,0.999,0.0006789275649183645,100000,0.726507128459653,normal,True,True,COMPLETE
47,1.9887291193008423,2020-06-20 22:46:52.569884,2020-06-21 01:33:00.133165,0 days 02:46:07.563281000,64,0.9999,0.0011787047731943881,100000,0.3235915056576552,normal,True,True,COMPLETE
48,0.617641270160675,2020-06-20 23:06:35.457242,2020-06-21 06:06:51.461429,0 days 07:00:16.004187000,256,0.999,0.0005187252297665664,100000,0.005983639924984734,normal,True,True,COMPLETE
49,4.4054341316223145,2020-06-20 23:19:04.830125,2020-06-21 01:56:55.918046,0 days 02:37:51.087921000,256,0.999,0.0005871114938765292,100000,0.6194540321630891,normal,True,True,PRUNED
50,3.8054909706115723,2020-06-20 23:26:55.495075,2020-06-21 05:00:04.809531,0 days 05:33:09.314456000,256,0.999,0.0007328219072763449,10000,0.3207181514697117,adaptive-param,True,True,PRUNED
51,0.8540307283401489,2020-06-20 23:29:26.790580,2020-06-21 06:16:34.214382,0 days 06:47:07.423802000,256,0.999,0.0005317271834628048,10000,0.6076468133836089,adaptive-param,True,True,COMPLETE
52,0.7749170660972595,2020-06-20 23:30:10.482728,2020-06-21 06:16:01.111130,0 days 06:45:50.628402000,256,0.999,0.00029317432458673704,10000,0.28583018182858216,adaptive-param,True,True,COMPLETE
53,3.4824485778808594,2020-06-20 23:33:43.671830,2020-06-21 05:04:10.770741,0 days 05:30:27.098911000,256,0.999,0.0003671258476167644,10000,0.34695443454598107,adaptive-param,True,True,PRUNED
54,3.0869932174682617,2020-06-20 23:33:51.296352,2020-06-21 02:23:05.088406,0 days 02:49:13.792054000,64,0.95,0.0005312659309845871,10000,0.34938017725494036,adaptive-param,True,True,COMPLETE
55,1.5617667436599731,2020-06-20 23:34:33.048412,2020-06-21 06:17:36.759924,0 days 06:43:03.711512000,256,0.95,0.00026909132537528986,10000,0.329660663174721,adaptive-param,True,True,COMPLETE
