number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_lr,params_n_sampled_goal,params_net_arch,params_random_exploration,params_target_entropy,params_train_freq,state
43,0.8999649882316589,2020-06-29 23:08:29.224912,2020-06-29 23:30:11.668900,0 days 00:21:42.443988000,32,1000000,auto,0.99,20000,0.9936874410299024,1,big,0.09607375454316167,-20,1,COMPLETE
44,0.8999649882316589,2020-06-29 23:30:11.670454,2020-06-29 23:51:22.815525,0 days 00:21:11.145071000,32,1000000,auto,0.9999,20000,0.6685007270367938,1,big,0.22498495415105035,-20,1,COMPLETE
45,5.775386810302734,2020-06-29 23:51:22.817100,2020-06-30 00:32:29.647581,0 days 00:41:06.830481000,512,1000000,0.01,0.99,0,0.1415201207945556,1,big,0.05248184653305582,,300,PRUNED
46,1.0442602634429932,2020-06-30 00:32:29.863245,2020-06-30 00:53:24.289044,0 days 00:20:54.425799000,16,1000000,auto,0.99,20000,0.8360522890437501,6,big,0.0886025663277111,-20,1,COMPLETE
47,6.6240644454956055,2020-06-30 00:53:24.290596,2020-06-30 00:59:15.510170,0 days 00:05:51.219574000,32,100000,0.05,0.9999,10000,0.6727966771189635,1,medium,0.08825841185836837,,100,PRUNED
48,4.795297622680664,2020-06-30 00:59:15.717975,2020-06-30 02:17:11.138129,0 days 01:17:55.420154000,512,1000000,0.5,0.9999,20000,0.1953689388414455,1,medium,0.19342080267571352,,1,COMPLETE
49,2.2067227363586426,2020-06-30 02:17:11.139605,2020-06-30 02:21:41.689236,0 days 00:04:30.549631000,32,1000000,auto,0.9999,20000,0.00045718763840875014,8,big,0.3297759332661876,-20,10,PRUNED
50,2.8639469146728516,2020-06-30 02:21:42.078915,2020-06-30 02:31:13.740567,0 days 00:09:31.661652000,32,100000,auto,0.995,20000,3.096216401365755e-05,1,small,0.23038653269897108,-50,1,COMPLETE
51,5.2974371910095215,2020-06-30 02:31:13.742192,2020-06-30 04:00:39.891788,0 days 01:29:26.149596000,512,1000000,auto,0.95,20000,0.05831555125674583,1,big,0.1429041393571629,-100,1,PRUNED
52,0.8999649882316589,2020-06-30 04:00:40.145917,2020-06-30 04:21:55.051957,0 days 00:21:14.906040000,32,1000000,auto,0.99,20000,0.9746944479724817,1,big,0.4763386201086749,-1,1,COMPLETE
53,0.8999649882316589,2020-06-30 04:21:55.053488,2020-06-30 04:43:15.964801,0 days 00:21:20.911313000,32,1000000,auto,0.99,20000,0.8195780588329008,1,big,0.5626997255386351,-1,1,COMPLETE
54,4.795297622680664,2020-06-30 04:43:15.966413,2020-06-30 05:04:07.451175,0 days 00:20:51.484762000,32,1000000,auto,0.99,20000,0.00018390481848732005,1,big,0.5632939373910567,-100,1,COMPLETE
55,5.7752485275268555,2020-06-30 05:04:07.452620,2020-06-30 05:21:31.220148,0 days 00:17:23.767528000,32,1000000,0.05,0.98,20000,0.9430525202659307,2,big,0.4683783772537917,,1,COMPLETE
56,0.591924786567688,2020-06-30 05:21:31.221802,2020-06-30 06:06:20.842445,0 days 00:44:49.620643000,256,10000,auto,0.99,20000,0.001025699215141441,1,medium,0.642423627812771,auto,1,COMPLETE
57,5.87348747253418,2020-06-30 06:06:20.844017,2020-06-30 06:51:12.284000,0 days 00:44:51.439983000,256,10000,auto,0.98,20000,0.0011442335088186534,4,medium,0.6747585591409446,auto,1,COMPLETE
58,5.358550071716309,2020-06-30 06:51:12.285700,2020-06-30 07:37:32.946029,0 days 00:46:20.660329000,256,10000,0.05,0.99,20000,8.67082732340559e-05,1,medium,0.7381459591396671,,1,COMPLETE
59,1.966156244277954,2020-06-30 07:37:32.947612,2020-06-30 08:27:41.089416,0 days 00:50:08.141804000,256,10000,0.1,0.95,10000,0.09408195087843871,1,medium,0.5589142356070286,,1,COMPLETE
60,0.9420612454414368,2020-06-30 08:27:41.091330,2020-06-30 08:58:42.038975,0 days 00:31:00.947645000,128,10000,0.01,0.95,20000,0.022258119643145745,6,medium,0.3742936246669736,,10,COMPLETE
61,0.8999649882316589,2020-06-30 08:58:42.040539,2020-06-30 09:18:32.233934,0 days 00:19:50.193395000,64,10000,auto,0.995,20000,0.28888953556041813,1,medium,0.3063361530510343,auto,1,COMPLETE
62,0.8999649882316589,2020-06-30 09:18:32.235246,2020-06-30 09:35:52.340996,0 days 00:17:20.105750000,64,10000,auto,0.995,20000,0.08937882524772689,1,medium,0.33052585348520913,auto,1,COMPLETE
63,0.8963069915771484,2020-06-30 09:35:52.342298,2020-06-30 10:23:29.707480,0 days 00:47:37.365182000,256,1000000,auto,0.99,20000,2.8651469555587345e-05,1,big,0.6136719350565435,auto,1,COMPLETE
64,2.930077075958252,2020-06-30 10:23:29.709115,2020-06-30 10:47:53.594847,0 days 00:24:23.885732000,64,10000,auto,0.995,20000,3.196001982296006e-05,1,medium,0.62580608330762,auto,1,COMPLETE
