number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_lr,params_n_sampled_goal,params_net_arch,params_random_exploration,params_target_entropy,params_train_freq,state
52,0.7063599228858948,2020-06-25 12:39:34.891905,2020-06-25 19:46:11.905334,0 days 07:06:37.013429000,256,100000,0.05,0.99,10000,1.6547806344326693e-05,2,medium,0.33479597507571135,,10,PRUNED
53,1.0419352054595947,2020-06-25 12:41:23.328651,2020-06-25 23:13:35.518812,0 days 10:32:12.190161000,256,100000,0.05,0.99,20000,1.3040552155706911e-05,2,medium,0.09750861445575099,,10,COMPLETE
54,0.44205087423324585,2020-06-25 14:06:08.043869,2020-06-26 01:57:19.623648,0 days 11:51:11.579779000,256,100000,0.05,0.99,10000,1.1399738671450889e-05,2,medium,0.14332237988346078,,10,COMPLETE
55,0.2640421986579895,2020-06-25 14:42:23.817183,2020-06-26 06:19:08.622564,0 days 15:36:44.805381000,512,100000,0.05,0.99,10000,1.7673030748976233e-05,2,medium,0.09704364570353108,,10,COMPLETE
56,1.5400861501693726,2020-06-25 14:51:46.761729,2020-06-26 06:23:15.480051,0 days 15:31:28.718322000,512,100000,0.05,0.99,10000,1.5706525066256463e-05,2,medium,0.3872430663256433,,10,COMPLETE
57,1.0709935426712036,2020-06-25 14:56:03.457801,2020-06-26 06:23:01.515968,0 days 15:26:58.058167000,512,100000,0.05,0.99,10000,1.0069193715869063e-05,2,medium,0.35971064729644414,,10,COMPLETE
58,1.1872360706329346,2020-06-25 14:57:35.836956,2020-06-25 21:37:20.008634,0 days 06:39:44.171678000,128,100000,auto,0.99,10000,1.1993605132069611e-05,8,medium,0.43808620998025716,-100,300,COMPLETE
59,0.38554927706718445,2020-06-25 15:10:16.626063,2020-06-26 06:23:12.793460,0 days 15:12:56.167397000,512,10000,0.5,0.9,10000,1.1302251485813143e-05,6,small,0.5788288603969023,,100,COMPLETE
60,1.322052001953125,2020-06-25 15:16:42.643763,2020-06-26 06:25:20.428764,0 days 15:08:37.785001000,512,1000000,0.5,0.99,10000,1.1060192561533136e-05,6,medium,0.7036981595404016,,10,COMPLETE
61,1.9603073596954346,2020-06-25 15:24:34.502804,2020-06-26 06:25:25.417366,0 days 15:00:50.914562000,512,1000000,0.5,0.99,10000,1.1531991486000384e-05,6,medium,0.7255817313292241,,10,COMPLETE
62,1.1462081670761108,2020-06-25 15:37:44.360909,2020-06-26 06:24:56.984034,0 days 14:47:12.623125000,512,1000000,0.5,0.99,10000,0.001219313883253921,2,medium,0.4132004712086712,,100,COMPLETE
63,1.9738609790802002,2020-06-25 16:21:35.386357,2020-06-25 22:31:09.769282,0 days 06:09:34.382925000,128,1000000,0.5,0.99,10000,2.6327206257779252e-05,2,medium,0.40176156978164135,,100,COMPLETE
64,3.3879566192626953,2020-06-25 16:23:07.126875,2020-06-25 22:43:48.136708,0 days 06:20:41.009833000,128,1000000,0.5,0.99,10000,2.7378742994216934e-05,2,medium,0.3994187153104041,,100,COMPLETE
65,0.6983667612075806,2020-06-25 16:43:47.660718,2020-06-25 22:49:13.569711,0 days 06:05:25.908993000,128,1000000,0.5,0.99,10000,0.0012962788255842402,2,medium,0.6720935367513277,,100,COMPLETE
66,0.47502008080482483,2020-06-25 17:05:59.882229,2020-06-25 23:25:23.567292,0 days 06:19:23.685063000,128,1000000,0.5,0.99,10000,0.0005281365888034432,2,medium,0.7046019129147814,,100,COMPLETE
67,1.743019700050354,2020-06-25 17:12:14.900700,2020-06-25 23:32:46.035607,0 days 06:20:31.134907000,128,1000000,0.5,0.99,10000,2.241047996943668e-05,2,medium,0.6648644215092286,,100,COMPLETE
68,1.7582123279571533,2020-06-25 17:47:46.061609,2020-06-26 00:49:52.101842,0 days 07:02:06.040233000,128,1000000,0.5,0.99,10000,0.0006562488201219148,8,small,0.6914154171994591,,10,COMPLETE
69,1.992084264755249,2020-06-25 18:02:53.836171,2020-06-25 20:09:37.615579,0 days 02:06:43.779408000,64,1000000,0.5,0.99,10000,0.0006857774407537014,8,medium,0.6524448229399786,,10,PRUNED
70,1.8401901721954346,2020-06-25 18:39:02.377991,2020-06-25 22:43:56.992228,0 days 04:04:54.614237000,64,1000000,0.5,0.99,10000,0.0006348986036787825,8,medium,0.6964848350608863,,10,COMPLETE
71,3.3256468772888184,2020-06-25 19:46:14.456909,2020-06-26 00:01:15.758368,0 days 04:15:01.301459000,64,1000000,0.5,0.98,10000,0.0005837739702132029,8,small,0.6997563654481529,,10,COMPLETE
72,0.3664097487926483,2020-06-25 20:09:41.106594,2020-06-26 03:29:58.790176,0 days 07:20:17.683582000,128,1000000,0.5,0.9,10000,2.715349747967429e-05,8,small,0.5723949370177407,,100,COMPLETE
73,0.38439640402793884,2020-06-25 20:37:55.127572,2020-06-26 03:35:48.188477,0 days 06:57:53.060905000,128,1000000,0.5,0.98,10000,2.592198552331968e-05,8,medium,0.6901426463410485,,100,COMPLETE
74,0.528241753578186,2020-06-25 21:37:20.031008,2020-06-26 04:24:09.145591,0 days 06:46:49.114583000,128,1000000,0.5,0.98,0,2.3650594479584563e-05,6,small,0.7109538711593415,,100,COMPLETE
75,0.31496143341064453,2020-06-25 21:38:44.618514,2020-06-26 04:00:22.338133,0 days 06:21:37.719619000,128,10000,0.1,0.98,10000,2.648329987367947e-05,6,small,0.6634164481632218,,100,COMPLETE
76,0.4408596456050873,2020-06-25 21:54:41.092408,2020-06-26 04:10:49.719089,0 days 06:16:08.626681000,128,10000,0.1,0.98,10000,2.6640765484298753e-05,6,medium,0.6834283068444225,,100,COMPLETE
77,1.6912771463394165,2020-06-25 22:31:09.783981,2020-06-26 00:35:34.237692,0 days 02:04:24.453711000,128,10000,0.1,0.98,10000,0.000673574971055121,6,medium,0.6942563311275085,,100,PRUNED
78,1.3515559434890747,2020-06-25 22:43:48.149885,2020-06-26 00:55:14.965115,0 days 02:11:26.815230000,16,10000,0.1,0.98,0,0.0007350601162457694,6,small,0.7176595307184286,,100,COMPLETE
79,3.5659687519073486,2020-06-25 22:43:57.035910,2020-06-26 00:56:49.855258,0 days 02:12:52.819348000,16,10000,0.1,0.98,0,0.004877857141530224,6,small,0.5582064399558211,,100,COMPLETE
