number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_lr,params_n_sampled_goal,params_noise_std,params_noise_type,params_random_exploration,params_train_freq,state
58,8.428060531616211,2020-06-27 21:11:39.735644,2020-06-28 09:43:13.273687,0 days 12:31:33.538043000,256,1000000,0.995,0.00017403220934548598,8,0.04042658579136332,normal,0.8222233796589116,100,COMPLETE
59,2.619960308074951,2020-06-27 21:23:36.358619,2020-06-28 01:37:57.644158,0 days 04:14:21.285539000,256,1000000,0.995,0.00016707640391902377,8,0.01202657314377642,normal,0.8350707903759118,100,PRUNED
60,7.262824058532715,2020-06-27 21:28:17.764275,2020-06-28 09:47:18.203755,0 days 12:19:00.439480000,256,1000000,0.995,0.00023556445117237608,8,0.010877060289061102,normal,0.8239810561703979,100,COMPLETE
61,2.0725133419036865,2020-06-27 21:37:02.722092,2020-06-28 19:24:44.961512,0 days 21:47:42.239420000,512,1000000,0.995,0.00021490516714707357,8,0.0021593613806891176,normal,0.8235054093548392,100,COMPLETE
62,8.428422927856445,2020-06-27 21:41:43.119068,2020-06-28 19:48:36.417132,0 days 22:06:53.298064000,512,10000,0.995,0.00019426560624551584,8,0.00890888497911052,normal,0.8171798305923527,100,COMPLETE
63,8.383783340454102,2020-06-27 21:43:06.118764,2020-06-28 19:41:45.312171,0 days 21:58:39.193407000,512,10000,0.995,0.0003402709947651871,8,0.9861070784511974,normal,0.8219940113729374,100,COMPLETE
64,0.2917526662349701,2020-06-27 21:54:07.949829,2020-06-28 19:33:33.695296,0 days 21:39:25.745467000,512,10000,0.995,0.00014780992365971503,8,0.013256170393516703,normal,0.8049702286147908,100,COMPLETE
65,3.3579776287078857,2020-06-27 23:41:32.348066,2020-06-28 22:17:04.817717,0 days 22:35:32.469651000,512,10000,0.995,0.00011213800104635464,8,0.3904911062611327,normal,0.8133553207978125,100,COMPLETE
66,0.6063508987426758,2020-06-27 23:55:16.648955,2020-06-28 21:59:43.205071,0 days 22:04:26.556116000,512,10000,0.995,0.0001404316186817815,8,0.06038856556334107,normal,0.790690292725551,100,COMPLETE
67,0.9305828213691711,2020-06-28 00:39:25.632639,2020-06-28 22:33:39.942419,0 days 21:54:14.309780000,512,10000,0.995,0.00012119128090444413,8,0.025109418993047625,normal,0.788943340772267,1000,COMPLETE
