number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_lr,params_net_arch,params_target_entropy,params_train_freq,state
17,3.9387221336364746,2020-06-24 00:05:00.522321,2020-06-24 00:37:07.342002,0 days 00:32:06.819681000,512,1000000,0.0001,0.99,1000,0.1300363122918332,medium,,300,PRUNED
18,1.677914023399353,2020-06-24 00:37:07.523836,2020-06-24 00:55:37.085253,0 days 00:18:29.561417000,256,10000,0.05,0.9999,0,0.012517051907558256,small,,10,COMPLETE
19,1.6200981140136719,2020-06-24 00:55:37.086536,2020-06-24 01:07:09.732756,0 days 00:11:32.646220000,64,10000,0.5,0.98,10000,0.07628684982880472,big,,100,PRUNED
20,1.7697080373764038,2020-06-24 01:07:09.892802,2020-06-24 01:20:22.258693,0 days 00:13:12.365891000,128,100000,0.5,0.995,0,0.0033018766135501938,small,,100,COMPLETE
21,1.5238511562347412,2020-06-24 01:20:22.260008,2020-06-24 01:34:44.422268,0 days 00:14:22.162260000,16,10000,0.5,0.995,0,0.037909824600906826,medium,,100,COMPLETE
22,2.502979040145874,2020-06-24 01:34:44.423549,2020-06-24 02:10:30.082112,0 days 00:35:45.658563000,512,10000,0.5,0.995,0,0.39696333693405367,medium,,100,PRUNED
23,1.4496479034423828,2020-06-24 02:10:30.259897,2020-06-24 02:25:13.445501,0 days 00:14:43.185604000,16,10000,0.5,0.995,0,0.040455862378679375,medium,,100,COMPLETE
24,1.707406997680664,2020-06-24 02:25:13.446783,2020-06-24 03:59:03.370476,0 days 01:33:49.923693000,512,10000,0.5,0.995,0,0.22613566943167618,medium,,100,COMPLETE
25,1.8098970651626587,2020-06-24 03:59:03.371819,2020-06-24 04:13:54.055880,0 days 00:14:50.684061000,16,10000,0.5,0.995,0,0.0079397042818039,medium,,10,COMPLETE
26,1.4813330173492432,2020-06-24 04:13:54.057207,2020-06-24 05:50:50.167449,0 days 01:36:56.110242000,512,1000000,0.05,0.999,0,0.06885743247519066,medium,,100,COMPLETE
27,1.9658043384552002,2020-06-24 05:50:50.168842,2020-06-24 06:05:35.882420,0 days 00:14:45.713578000,128,1000000,0.05,0.999,1000,0.065160978851357,medium,,100,PRUNED
28,1.5000473260879517,2020-06-24 06:05:36.072959,2020-06-24 06:24:34.207913,0 days 00:18:58.134954000,256,1000000,0.05,0.999,0,0.02017770995919227,small,,10,COMPLETE
29,3.2492148876190186,2020-06-24 06:24:34.209386,2020-06-24 06:31:42.848678,0 days 00:07:08.639292000,64,1000000,auto,0.999,20000,0.0011289284584134864,big,-50,1,PRUNED
30,3.876488208770752,2020-06-24 06:31:43.044867,2020-06-24 06:40:27.967961,0 days 00:08:44.923094000,64,1000000,0.05,0.98,10000,0.9805537666822299,medium,,300,PRUNED
31,1.42728590965271,2020-06-24 06:40:28.154077,2020-06-24 06:59:51.257507,0 days 00:19:23.103430000,256,1000000,0.05,0.999,0,0.020074770889398366,small,,10,COMPLETE
32,0.9976216554641724,2020-06-24 06:59:51.258887,2020-06-24 07:07:30.839618,0 days 00:07:39.580731000,256,1000000,0.05,0.999,0,0.01773302609814496,small,,10,PRUNED
33,5.657074928283691,2020-06-24 07:07:31.041106,2020-06-24 07:15:14.234407,0 days 00:07:43.193301000,256,1000000,0.05,0.999,0,0.0065819378791769035,small,,10,PRUNED
34,1.707406997680664,2020-06-24 07:15:14.425525,2020-06-24 07:26:21.521729,0 days 00:11:07.096204000,16,1000000,0.0001,0.999,0,0.057618924567670725,small,,10,COMPLETE
35,1.5409300327301025,2020-06-24 07:26:21.523130,2020-06-24 07:45:25.281107,0 days 00:19:03.757977000,256,1000000,0.05,0.9999,0,0.03051437200620086,small,,10,COMPLETE
36,1.0678808689117432,2020-06-24 07:45:25.282612,2020-06-24 07:55:20.269317,0 days 00:09:54.986705000,32,1000000,0.1,0.9,0,0.30454485575418044,medium,,100,PRUNED
37,1.9632022380828857,2020-06-24 07:55:20.450315,2020-06-24 07:58:36.385136,0 days 00:03:15.934821000,16,1000000,0.01,0.999,20000,0.0016897508735741504,medium,,10,PRUNED
38,2.0076963901519775,2020-06-24 07:58:36.563032,2020-06-24 08:14:01.113427,0 days 00:15:24.550395000,512,1000000,0.05,0.99,1000,0.07657370546577354,small,,100,PRUNED
39,2.025139093399048,2020-06-24 08:14:01.314607,2020-06-24 09:25:53.653555,0 days 01:11:52.338948000,256,1000000,auto,0.95,0,0.004910437387895203,big,-1,10,COMPLETE
40,1.773180365562439,2020-06-24 09:25:53.655166,2020-06-24 09:34:44.632485,0 days 00:08:50.977319000,32,1000000,0.0001,0.98,0,0.026851569570402595,medium,,100,PRUNED
41,1.5072418451309204,2020-06-24 09:34:44.829169,2020-06-24 09:54:11.076561,0 days 00:19:26.247392000,256,1000000,0.05,0.999,0,1.4349317910742711e-05,small,,10,COMPLETE
42,1.5148764848709106,2020-06-24 09:54:11.078129,2020-06-24 10:13:25.426135,0 days 00:19:14.348006000,256,1000000,0.05,0.999,0,0.015355360124895651,small,,10,COMPLETE
43,1.812709093093872,2020-06-24 10:13:25.427640,2020-06-24 10:32:25.868526,0 days 00:19:00.440886000,256,1000000,0.05,0.999,0,0.012087156594124574,small,,10,COMPLETE
44,1.5600110292434692,2020-06-24 10:32:25.869975,2020-06-24 10:52:10.153522,0 days 00:19:44.283547000,256,100000,0.05,0.999,0,0.09786819288151874,small,,1,COMPLETE
45,1.601395606994629,2020-06-24 10:52:10.154998,2020-06-24 11:03:05.617618,0 days 00:10:55.462620000,16,1000000,0.01,0.9,0,0.03556457651528904,small,,10,COMPLETE
46,2.4253602027893066,2020-06-24 11:03:05.618998,2020-06-24 11:09:11.773619,0 days 00:06:06.154621000,512,1000000,0.05,0.995,20000,0.22263649402703348,small,,10,PRUNED
47,1.5971400737762451,2020-06-24 11:09:11.963423,2020-06-24 11:22:58.328879,0 days 00:13:46.365456000,128,1000000,0.1,0.999,0,0.046722607676097705,small,,100,COMPLETE
48,1.5045585632324219,2020-06-24 11:22:58.330360,2020-06-24 12:55:58.840435,0 days 01:33:00.510075000,512,1000000,0.05,0.995,0,0.02197488955114545,medium,,10,COMPLETE
49,2.343251943588257,2020-06-24 12:55:58.842009,2020-06-24 13:00:49.024431,0 days 00:04:50.182422000,256,100000,0.05,0.99,10000,0.0002958151266678155,small,,300,PRUNED
50,3.9283440113067627,2020-06-24 13:00:49.212715,2020-06-24 13:33:20.232734,0 days 00:32:31.020019000,512,1000000,0.5,0.95,0,0.15206482919027828,medium,,10,PRUNED
51,1.707406997680664,2020-06-24 13:33:20.425951,2020-06-24 15:06:31.946626,0 days 01:33:11.520675000,512,10000,0.5,0.995,0,0.10332592867068159,medium,,100,COMPLETE
52,1.5021090507507324,2020-06-24 15:06:31.948334,2020-06-24 16:29:43.923520,0 days 01:23:11.975186000,512,10000,0.5,0.995,0,0.053133629490710654,medium,,100,COMPLETE
53,3.3795933723449707,2020-06-24 16:29:43.924670,2020-06-24 16:54:44.793543,0 days 00:25:00.868873000,512,10000,0.5,0.995,0,0.5536317948452792,medium,,100,PRUNED
54,3.769702911376953,2020-06-24 16:54:44.937030,2020-06-24 17:19:45.451550,0 days 00:25:00.514520000,512,10000,0.5,0.9999,0,0.11691572517825899,medium,,100,PRUNED
55,2.61625337600708,2020-06-24 17:19:45.595193,2020-06-24 17:44:14.008570,0 days 00:24:28.413377000,512,10000,0.5,0.995,1000,0.24308401508282632,medium,,100,PRUNED
56,1.5340311527252197,2020-06-24 17:44:14.153897,2020-06-24 17:52:37.780368,0 days 00:08:23.626471000,16,10000,0.5,0.995,0,0.012358025221336723,small,,1,COMPLETE
57,1.4942524433135986,2020-06-24 17:52:37.781502,2020-06-24 18:11:28.814845,0 days 00:18:51.033343000,32,10000,auto,0.999,0,0.022193628432241985,big,-50,100,COMPLETE
58,2.2397189140319824,2020-06-24 18:11:28.816035,2020-06-24 18:18:07.469680,0 days 00:06:38.653645000,32,1000000,auto,0.999,0,0.00968880903792431,big,-1,100,PRUNED
59,0.8932186961174011,2020-06-24 18:18:07.628708,2020-06-24 18:25:40.078111,0 days 00:07:32.449403000,32,10000,auto,0.999,0,0.0226778937984721,big,-100,10,PRUNED
60,1.7292228937149048,2020-06-24 18:25:40.225772,2020-06-24 18:31:54.820390,0 days 00:06:14.594618000,32,100000,auto,0.999,0,0.004939513422824862,big,-1,100,PRUNED
61,1.4942524433135986,2020-06-24 18:31:54.977921,2020-06-24 18:50:39.680639,0 days 00:18:44.702718000,32,10000,auto,0.999,0,0.07934181261118259,big,-10,100,COMPLETE
62,1.4942524433135986,2020-06-24 18:50:39.681846,2020-06-24 19:09:26.329376,0 days 00:18:46.647530000,32,10000,auto,0.999,0,0.039697060487067226,big,-1,100,COMPLETE
63,1.4942524433135986,2020-06-24 19:09:26.330547,2020-06-24 19:28:16.817174,0 days 00:18:50.486627000,32,10000,auto,0.999,0,0.07529887238983433,big,auto,100,COMPLETE
64,1.4942524433135986,2020-06-24 19:28:16.818366,2020-06-24 19:47:06.943920,0 days 00:18:50.125554000,32,10000,auto,0.999,0,0.04262749541576223,big,-10,100,COMPLETE
65,2.1775078773498535,2020-06-24 19:47:06.945062,2020-06-24 19:51:53.298077,0 days 00:04:46.353015000,32,10000,auto,0.999,10000,0.16838338312853265,big,-20,100,PRUNED
66,1.4942524433135986,2020-06-24 19:51:53.446678,2020-06-24 20:10:45.242766,0 days 00:18:51.796088000,32,10000,auto,0.999,0,0.06205524805857123,big,-10,100,COMPLETE
67,1.4942524433135986,2020-06-24 20:10:45.243988,2020-06-24 20:29:40.102590,0 days 00:18:54.858602000,32,10000,auto,0.999,0,0.353589679984324,big,-10,100,COMPLETE
68,2.297506809234619,2020-06-24 20:29:40.103800,2020-06-24 20:32:38.083213,0 days 00:02:57.979413000,32,10000,auto,0.9,20000,0.7391161375329508,big,-50,100,PRUNED
69,3.4702811241149902,2020-06-24 20:32:38.227906,2020-06-24 20:40:45.727622,0 days 00:08:07.499716000,64,10000,auto,0.98,0,0.0336784880182455,big,auto,100,PRUNED
70,4.122726917266846,2020-06-24 20:40:45.874130,2020-06-24 20:46:45.304213,0 days 00:05:59.430083000,32,10000,0.01,0.999,1000,0.365291922996158,big,,300,PRUNED
71,1.4942524433135986,2020-06-24 20:46:45.449171,2020-06-24 21:05:32.989740,0 days 00:18:47.540569000,32,10000,auto,0.999,0,0.0820082469546832,big,-10,100,COMPLETE
72,1.4942524433135986,2020-06-24 21:05:32.990975,2020-06-24 21:24:18.493405,0 days 00:18:45.502430000,32,10000,auto,0.999,0,0.04673110262994526,big,-10,100,COMPLETE
73,3.2721633911132812,2020-06-24 21:24:18.494626,2020-06-24 21:30:54.755975,0 days 00:06:36.261349000,32,10000,auto,0.999,0,0.03461972650504734,big,-100,100,PRUNED
74,1.4687039852142334,2020-06-24 21:30:54.902762,2020-06-24 21:49:41.582458,0 days 00:18:46.679696000,32,10000,auto,0.999,0,0.05838181085923547,big,-20,100,COMPLETE
75,3.673325300216675,2020-06-24 21:49:41.583663,2020-06-24 22:01:10.777099,0 days 00:11:29.193436000,128,10000,auto,0.9999,0,0.015907596941929662,big,-20,100,PRUNED
76,3.3348193168640137,2020-06-24 22:01:10.922392,2020-06-24 22:07:11.670277,0 days 00:06:00.747885000,16,10000,0.0001,0.999,0,0.14261985881013242,big,,100,PRUNED
77,2.502979040145874,2020-06-24 22:07:11.814061,2020-06-24 22:13:45.439683,0 days 00:06:33.625622000,32,10000,0.1,0.99,0,0.28031710225353285,big,,100,PRUNED
78,1.4942524433135986,2020-06-24 22:13:45.584068,2020-06-24 22:32:40.498845,0 days 00:18:54.914777000,32,10000,auto,0.999,0,0.0837037965512753,big,auto,100,COMPLETE
79,1.4942524433135986,2020-06-24 22:32:40.500075,2020-06-24 22:50:00.370430,0 days 00:17:19.870355000,16,10000,auto,0.95,0,0.19647523456264693,big,-20,1,COMPLETE
80,1.4942524433135986,2020-06-24 22:50:00.371643,2020-06-24 23:07:16.237719,0 days 00:17:15.866076000,16,10000,auto,0.95,0,0.18753941164711282,big,-10,1,COMPLETE
81,1.4942524433135986,2020-06-24 23:07:16.238943,2020-06-24 23:24:35.259184,0 days 00:17:19.020241000,16,10000,auto,0.95,0,0.2089057694344266,big,auto,1,COMPLETE
82,1.4942524433135986,2020-06-24 23:24:35.260429,2020-06-24 23:41:49.130626,0 days 00:17:13.870197000,16,10000,auto,0.95,0,0.027434942114263325,big,-20,1,COMPLETE
83,1.4942524433135986,2020-06-24 23:41:49.131903,2020-06-24 23:58:22.778729,0 days 00:16:33.646826000,16,10000,auto,0.999,0,0.05744016616249438,big,-10,1,COMPLETE
84,1.0452004671096802,2020-06-24 23:58:22.779985,2020-06-25 00:05:18.315468,0 days 00:06:55.535483000,16,10000,auto,0.95,0,0.024362003555871377,big,auto,1,PRUNED
85,1.5758399963378906,2020-06-25 00:05:18.465253,2020-06-25 00:23:04.908566,0 days 00:17:46.443313000,32,1000000,0.05,0.999,0,0.06125356541850772,big,,100,COMPLETE
86,2.9930214881896973,2020-06-25 00:23:04.909907,2020-06-25 00:27:52.430332,0 days 00:04:47.520425000,32,10000,0.0001,0.999,10000,0.11839193620597688,big,,100,PRUNED
87,0.5759707689285278,2020-06-25 00:27:52.578171,2020-06-25 00:35:17.164686,0 days 00:07:24.586515000,32,1000000,0.01,0.999,0,0.07173735530437489,medium,,100,PRUNED
88,2.3196842670440674,2020-06-25 00:35:17.326665,2020-06-25 00:36:43.652301,0 days 00:01:26.325636000,32,100000,0.5,0.999,20000,0.04665100712524079,small,,100,PRUNED
89,1.4942524433135986,2020-06-25 00:36:43.806837,2020-06-25 00:58:16.679236,0 days 00:21:32.872399000,64,10000,auto,0.999,0,0.09454388331269105,medium,-10,100,COMPLETE
90,0.5396349430084229,2020-06-25 00:58:16.680468,2020-06-25 01:05:45.432156,0 days 00:07:28.751688000,32,1000000,0.05,0.995,0,0.0190810597740664,big,,100,PRUNED
91,1.4942524433135986,2020-06-25 01:05:45.592866,2020-06-25 01:24:30.284349,0 days 00:18:44.691483000,32,10000,auto,0.999,0,0.04349726748238911,big,-20,100,COMPLETE
92,1.4942524433135986,2020-06-25 01:24:30.285554,2020-06-25 01:43:20.860927,0 days 00:18:50.575373000,32,10000,auto,0.999,0,0.03216671967643122,big,auto,100,COMPLETE
93,1.4942524433135986,2020-06-25 01:43:20.862124,2020-06-25 02:02:19.000818,0 days 00:18:58.138694000,32,10000,auto,0.999,0,0.05195155524930905,big,-20,100,COMPLETE
94,1.4942524433135986,2020-06-25 02:02:19.002070,2020-06-25 02:21:18.245133,0 days 00:18:59.243063000,32,10000,auto,0.999,0,0.0900665827337724,big,-20,100,COMPLETE
95,0.5603116750717163,2020-06-25 02:21:18.246380,2020-06-25 02:33:45.715649,0 days 00:12:27.469269000,512,10000,0.1,0.999,0,0.12168872003415178,small,,100,PRUNED
96,2.1900978088378906,2020-06-25 02:33:45.861972,2020-06-25 02:39:50.359050,0 days 00:06:04.497078000,16,10000,0.5,0.95,0,0.19356195021661413,big,,1,PRUNED
97,1.4942524433135986,2020-06-25 02:39:50.505800,2020-06-25 02:51:21.857477,0 days 00:11:31.351677000,16,1000000,auto,0.95,0,0.48274838213124577,medium,-20,1,COMPLETE
98,1.9453939199447632,2020-06-25 02:51:21.858871,2020-06-25 02:54:52.200116,0 days 00:03:30.341245000,32,10000,0.05,0.98,1000,0.01419769881771739,small,,300,PRUNED
99,1.4942524433135986,2020-06-25 02:54:52.346453,2020-06-25 03:16:43.559203,0 days 00:21:51.212750000,64,1000000,auto,0.95,0,0.6605602990704463,medium,-20,1,COMPLETE
