number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
45,0.6640032529830933,2020-06-20 19:38:51.943974,2020-06-20 19:48:51.876486,0 days 00:09:59.932512000,1.4003950744411903e-06,0.9,0.01302534035171612,linear,32,0.6224585949777248,PRUNED
46,0.7150614857673645,2020-06-20 19:38:54.195951,2020-06-20 20:03:22.476753,0 days 00:24:28.280802000,1.5088513791673879e-06,0.9,0.00013251271361571003,constant,64,0.022712161670516567,COMPLETE
47,0.5642648935317993,2020-06-20 19:38:56.787165,2020-06-20 19:49:11.470644,0 days 00:10:14.683479000,4.041631177588125e-06,0.95,0.00017698766419883816,constant,16,0.019753036933154444,PRUNED
48,0.3347589373588562,2020-06-20 19:38:58.215038,2020-06-20 20:03:10.091394,0 days 00:24:11.876356000,4.784773228624809e-06,0.95,0.00010592386178214103,constant,128,0.028023418793011262,COMPLETE
49,0.4203422963619232,2020-06-20 19:39:04.414905,2020-06-20 19:48:59.059248,0 days 00:09:54.644343000,2.74620992912435e-06,0.9,0.00018346529136666095,constant,128,0.03426946261232347,PRUNED
50,0.4350319504737854,2020-06-20 19:39:07.744373,2020-06-20 19:49:05.347736,0 days 00:09:57.603363000,5.905588131308086e-06,0.95,0.00018297581511231018,constant,128,0.04774799431812787,PRUNED
51,0.44508638978004456,2020-06-20 19:39:13.823439,2020-06-20 19:49:17.213753,0 days 00:10:03.390314000,4.739299027056815e-06,0.95,0.00017741167379354693,constant,128,0.045382107988819864,PRUNED
52,0.3405765891075134,2020-06-20 19:39:17.572826,2020-06-20 20:03:55.236431,0 days 00:24:37.663605000,5.518431110265185e-06,0.9,0.00021344715751502624,constant,32,0.04239461274990314,COMPLETE
53,0.4396131634712219,2020-06-20 19:39:19.046196,2020-06-20 20:03:37.348866,0 days 00:24:18.302670000,4.601563002941175e-06,0.9,0.00018293254740666428,constant,128,0.0545775630381653,COMPLETE
54,0.4101014733314514,2020-06-20 19:39:21.346893,2020-06-20 20:04:01.547512,0 days 00:24:40.200619000,4.65781659130787e-06,0.9,0.00013663975337888605,constant,32,0.012761132886225268,COMPLETE
55,0.6920496821403503,2020-06-20 19:39:21.442414,2020-06-20 19:49:28.434492,0 days 00:10:06.992078000,3.5482186992315673e-06,0.9,0.0001657782497840352,constant,32,0.023484319031492548,PRUNED
56,0.3991308808326721,2020-06-20 19:39:23.634852,2020-06-20 20:03:56.072774,0 days 00:24:32.437922000,1.0057884635073178e-05,0.9,0.00010336098071946182,constant,64,0.6409987282339246,COMPLETE
57,0.588995099067688,2020-06-20 19:39:24.340809,2020-06-20 20:04:31.688521,0 days 00:25:07.347712000,1.4748239776230436e-05,0.9,0.00014814962463593288,constant,32,0.6325464869486974,COMPLETE
58,0.5385626554489136,2020-06-20 19:39:26.747321,2020-06-20 20:04:34.943333,0 days 00:25:08.196012000,1.1444136264888927e-06,0.9,0.00012616143967158187,constant,16,0.6683501207192388,COMPLETE
59,0.38342946767807007,2020-06-20 19:39:29.945245,2020-06-20 20:04:09.306182,0 days 00:24:39.360937000,5.219804099345823e-06,0.9,0.00012989108315699532,constant,64,0.6774966684730364,COMPLETE
60,0.7925962209701538,2020-06-20 19:39:31.187225,2020-06-20 20:04:51.496941,0 days 00:25:20.309716000,9.312133796331077e-06,0.9,0.00011307493591898162,constant,16,0.6644954744743603,COMPLETE
61,0.4291211664676666,2020-06-20 19:39:34.462379,2020-06-20 20:04:04.544259,0 days 00:24:30.081880000,7.0620006069779345e-06,0.9,0.00013255217197931512,constant,64,0.9739171228611971,COMPLETE
62,0.37008386850357056,2020-06-20 19:39:36.032658,2020-06-20 20:03:47.613012,0 days 00:24:11.580354000,4.520520724331287e-06,0.9,0.00010363029930224198,constant,128,0.0346348771764583,COMPLETE
