number,value,datetime_start,datetime_complete,duration,params_cg_iters,params_ent_coef,params_gamma,params_lamdba,params_max_kl,params_timesteps_per_batch,params_vf_iters,params_vf_stepsize,state
35,1.508664846420288,2020-06-26 01:00:12.449782,2020-06-26 01:01:41.178958,0 days 00:01:28.729176000,10,1.0444095199555595e-08,0.995,0.99,5.145054482407732e-05,2048,10,0.0008554327149766668,COMPLETE
36,1.4447219371795654,2020-06-26 01:01:41.179891,2020-06-26 01:03:09.192156,0 days 00:01:28.012265000,10,2.1538566032129114e-08,0.9999,0.99,1.0977055928624792e-05,2048,10,0.007088683109040153,COMPLETE
37,3.028337001800537,2020-06-26 01:03:09.193076,2020-06-26 01:03:41.160315,0 days 00:00:31.967239000,10,2.5910150019735044e-08,0.9999,0.9,9.960950722655644e-06,512,10,0.00757925572454719,PRUNED
38,1.1471219062805176,2020-06-26 01:03:41.681126,2020-06-26 01:05:08.085626,0 days 00:01:26.404500000,10,1.6261792880977647e-08,0.9999,0.99,1.3228450829057356e-06,2048,10,0.03755429324149827,COMPLETE
39,1.327597975730896,2020-06-26 01:05:08.086518,2020-06-26 01:06:36.911342,0 days 00:01:28.824824000,10,1.0305276094049273e-08,0.95,0.99,1.0852787583185048e-06,2048,10,0.02999605395728428,COMPLETE
40,2.9966964721679688,2020-06-26 01:06:36.912313,2020-06-26 01:10:18.097548,0 days 00:03:41.185235000,10,8.02288076014466e-08,0.95,0.99,1.158440872077294e-06,16,10,0.04649772426740411,COMPLETE
41,1.693860411643982,2020-06-26 01:10:18.098490,2020-06-26 01:11:46.725877,0 days 00:01:28.627387000,10,1.7707113392124973e-08,0.95,0.99,3.016395503032553e-06,2048,10,0.03456850662213709,COMPLETE
42,1.7976773977279663,2020-06-26 01:11:46.726825,2020-06-26 01:13:15.733664,0 days 00:01:29.006839000,10,1.1770001501956518e-08,0.95,0.99,1.6973682840746032e-05,2048,10,0.007840658649465287,COMPLETE
43,1.554711103439331,2020-06-26 01:13:15.734637,2020-06-26 01:14:43.616635,0 days 00:01:27.881998000,10,2.84651761914072e-08,0.95,0.99,2.2672363573863132e-06,2048,10,0.025471753028465556,COMPLETE
44,3.288639545440674,2020-06-26 01:14:43.617561,2020-06-26 01:15:15.898959,0 days 00:00:32.281398000,10,7.965519943606384e-08,0.9999,0.99,7.143944348979062e-05,2048,10,0.13244307596920005,PRUNED
45,3.123321533203125,2020-06-26 01:15:16.494988,2020-06-26 01:16:49.246318,0 days 00:01:32.751330000,10,4.1585524729443036e-08,0.9,0.99,6.791344218535358e-06,512,10,0.011413209973468669,COMPLETE
46,1.710384726524353,2020-06-26 01:16:49.247284,2020-06-26 01:18:18.378084,0 days 00:01:29.130800000,10,1.342399266602409e-08,0.9999,0.9,3.1129409868112226e-06,2048,10,0.004695074676738346,COMPLETE
47,3.784079074859619,2020-06-26 01:18:18.379021,2020-06-26 01:18:59.291324,0 days 00:00:40.912303000,10,1.0664579616813009e-07,0.9999,0.92,2.030936506486001e-05,64,10,0.2062517852065076,PRUNED
48,1.5373976230621338,2020-06-26 01:18:59.943140,2020-06-26 01:20:29.500482,0 days 00:01:29.557342000,20,1.0303833801797923e-08,0.999,0.99,6.0192973589527055e-05,2048,10,0.018089422900677374,COMPLETE
49,5.538811683654785,2020-06-26 01:20:29.501421,2020-06-26 01:24:42.783515,0 days 00:04:13.282094000,15,1.1678476570306542e-06,0.95,0.8,1.040454791849663e-06,16,10,0.001134775119276386,COMPLETE
50,1.643803596496582,2020-06-26 01:24:42.784450,2020-06-26 01:26:06.304081,0 days 00:01:23.519631000,10,4.4324204781344536e-08,0.9999,0.99,6.349687737038485e-06,2048,5,0.00019789231753896853,COMPLETE
51,1.5159351825714111,2020-06-26 01:26:06.305025,2020-06-26 01:27:35.244558,0 days 00:01:28.939533000,10,2.211212345868951e-08,0.9999,0.99,2.0159208939098696e-06,2048,10,0.003240202755477696,COMPLETE
52,2.370689630508423,2020-06-26 01:27:35.245520,2020-06-26 01:29:03.914128,0 days 00:01:28.668608000,10,4.772837049843212e-08,0.9999,0.99,0.0006940106256784984,2048,10,0.01098520810452434,COMPLETE
53,1.6487785577774048,2020-06-26 01:29:03.915101,2020-06-26 01:30:32.848121,0 days 00:01:28.933020000,10,2.603040814251262e-06,0.9999,0.99,0.00010068957185821566,2048,10,0.004305143416676455,COMPLETE
54,3.6176764965057373,2020-06-26 01:30:32.849075,2020-06-26 01:31:55.393546,0 days 00:01:22.544471000,10,1.0157312373903988e-08,0.9999,0.99,2.949663556760014e-05,1024,3,0.0006554987406143015,COMPLETE
55,3.3502445220947266,2020-06-26 01:31:55.394521,2020-06-26 01:32:48.676828,0 days 00:00:53.282307000,10,5.868451067218794e-07,0.995,0.99,1.2216433144895274e-05,32,10,0.04360345469159039,PRUNED
56,3.0049803256988525,2020-06-26 01:32:49.482547,2020-06-26 01:34:18.259345,0 days 00:01:28.776798000,10,1.1338394282265374e-07,0.9999,0.99,0.002579552469819821,2048,10,0.027380309990204528,COMPLETE
57,1.744645118713379,2020-06-26 01:34:18.260347,2020-06-26 01:35:47.421683,0 days 00:01:29.161336000,15,2.0207275339560436e-08,0.9,0.8,4.433717613038478e-06,2048,10,0.001399555144981476,COMPLETE
58,1.565365195274353,2020-06-26 01:35:47.422670,2020-06-26 01:37:17.296600,0 days 00:01:29.873930000,20,2.8545357173547856e-08,0.999,0.92,3.446250578973553e-05,2048,10,0.000213972910799245,COMPLETE
59,2.405945301055908,2020-06-26 01:37:17.297553,2020-06-26 01:38:57.185728,0 days 00:01:39.888175000,10,1.554932960406737e-08,0.9999,0.99,0.0005946255121937791,4096,20,0.014395429336607481,COMPLETE
60,1.66143798828125,2020-06-26 01:38:57.186610,2020-06-26 01:40:13.333529,0 days 00:01:16.146919000,10,5.979979549022776e-08,0.95,0.9,1.6438604479293741e-06,2048,3,0.003064027969550682,COMPLETE
61,1.5221421718597412,2020-06-26 01:40:13.334502,2020-06-26 01:41:42.455010,0 days 00:01:29.120508000,10,2.622839517251667e-06,0.9999,0.99,0.017555836669981357,2048,10,0.002824488331004094,COMPLETE
62,2.469294548034668,2020-06-26 01:41:42.455941,2020-06-26 01:42:14.458584,0 days 00:00:32.002643000,10,6.593276213965202e-07,0.9999,0.99,0.007256848885520959,2048,10,0.0006211858011314938,PRUNED
63,2.142599582672119,2020-06-26 01:42:15.229343,2020-06-26 01:43:44.498048,0 days 00:01:29.268705000,10,4.336757488205424e-07,0.9999,0.99,0.0160932830669366,2048,10,0.006495929639146027,COMPLETE
64,1.5963464975357056,2020-06-26 01:43:44.499037,2020-06-26 01:45:13.609957,0 days 00:01:29.110920000,10,5.668064316144037e-06,0.9999,0.99,0.00012135193536973278,2048,10,0.0013414882904022839,COMPLETE
65,2.534543991088867,2020-06-26 01:45:13.610902,2020-06-26 01:46:00.891653,0 days 00:00:47.280751000,30,1.6176908354400676e-07,0.9999,0.99,0.031105679408758302,128,10,0.05901529356006447,PRUNED
66,3.009539842605591,2020-06-26 01:46:01.856753,2020-06-26 01:48:16.130899,0 days 00:02:14.274146000,20,8.749791219711458e-05,0.98,1.0,1.2655817588618375e-05,64,5,0.002122419134482597,COMPLETE
67,1.8700088262557983,2020-06-26 01:48:16.131863,2020-06-26 01:49:51.144307,0 days 00:01:35.012444000,15,1.8631663649461627e-05,0.9999,0.95,0.0017819704489950492,512,10,0.0009266919391007956,COMPLETE
