number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_lr,params_noise_std,params_noise_type,params_train_freq,state
50,1.3430988788604736,2020-06-27 23:33:22.237563,2020-06-27 23:45:36.385385,0 days 00:12:14.147822000,100,1000000,0.95,1.903084756731706e-05,0.35036087008669875,normal,100,PRUNED
51,1.5405569076538086,2020-06-27 23:45:36.561596,2020-06-28 00:11:45.019819,0 days 00:26:08.458223000,100,1000000,0.98,9.536051196713082e-05,0.7658462167461073,normal,2000,COMPLETE
52,1.8229835033416748,2020-06-28 00:11:45.021579,2020-06-28 00:37:42.578338,0 days 00:25:57.556759000,100,1000000,0.99,0.00017306006848701494,0.8133360302025604,normal,10,COMPLETE
53,1.6256452798843384,2020-06-28 00:37:42.579814,2020-06-28 01:04:05.353871,0 days 00:26:22.774057000,100,1000000,0.995,7.655061578091274e-05,0.9604128940059757,normal,1,COMPLETE
54,1.5373013019561768,2020-06-28 01:04:05.355397,2020-06-28 01:31:37.083463,0 days 00:27:31.728066000,100,1000000,0.95,3.529755729872153e-05,0.8631064643351201,normal,1000,COMPLETE
55,1.5179200172424316,2020-06-28 01:31:37.084992,2020-06-28 02:03:10.497135,0 days 00:31:33.412143000,128,1000000,0.999,0.0005023658529181586,0.8853954844442798,normal,2000,COMPLETE
56,1.3053505420684814,2020-06-28 02:03:10.498713,2020-06-28 02:50:05.028542,0 days 00:46:54.529829000,256,1000000,0.9,0.00014017275190276521,0.692515069782335,normal,10,COMPLETE
57,1.5868446826934814,2020-06-28 02:50:05.030145,2020-06-28 03:36:54.207469,0 days 00:46:49.177324000,256,10000,0.9,0.00014539536397692357,0.6047306418794284,normal,10,COMPLETE
58,1.6682708263397217,2020-06-28 03:36:54.208956,2020-06-28 04:23:14.051323,0 days 00:46:19.842367000,256,1000000,0.9,0.0002798272715751917,0.6575228568382608,normal,10,COMPLETE
59,1.9013442993164062,2020-06-28 04:23:14.053083,2020-06-28 04:44:15.883511,0 days 00:21:01.830428000,256,1000000,0.9,2.577608535997669e-05,0.7552953627866261,normal,10,PRUNED
60,1.5793488025665283,2020-06-28 04:44:16.075881,2020-06-28 05:30:33.603903,0 days 00:46:17.528022000,256,1000000,0.9999,5.474679379207367e-05,0.8086097698746167,ornstein-uhlenbeck,10,COMPLETE
61,1.4233994483947754,2020-06-28 05:30:33.605447,2020-06-28 05:57:09.516343,0 days 00:26:35.910896000,100,1000000,0.9,0.00012454644019163028,0.9073791383633186,normal,10,COMPLETE
62,1.3161232471466064,2020-06-28 05:57:09.517950,2020-06-28 06:16:18.152826,0 days 00:19:08.634876000,16,1000000,0.95,7.161311718840946e-05,0.7107366462905563,normal,1,COMPLETE
63,1.3820302486419678,2020-06-28 06:16:18.154642,2020-06-28 06:35:58.697598,0 days 00:19:40.542956000,16,1000000,0.95,1.4874757920365288e-05,0.7107281897922915,normal,1,COMPLETE
64,1.7700932025909424,2020-06-28 06:35:58.699352,2020-06-28 06:55:27.278308,0 days 00:19:28.578956000,16,1000000,0.95,0.00029563176271376295,0.5075341691108146,normal,1,COMPLETE
65,2.4544687271118164,2020-06-28 06:55:27.280045,2020-06-28 07:04:12.461329,0 days 00:08:45.181284000,16,1000000,0.95,7.209721652367124e-05,0.7098680716009345,normal,1,PRUNED
66,1.6546943187713623,2020-06-28 07:04:12.675439,2020-06-28 07:35:37.365641,0 days 00:31:24.690202000,128,1000000,0.95,3.1106001311226914e-05,0.6220374322515932,normal,1,COMPLETE
67,1.2677643299102783,2020-06-28 07:35:37.367348,2020-06-28 07:44:02.538029,0 days 00:08:25.170681000,16,1000000,0.95,0.00020614789394765215,0.7944756954065644,normal,10,PRUNED
68,1.4453271627426147,2020-06-28 07:44:02.731960,2020-06-28 08:16:02.700664,0 days 00:31:59.968704000,128,1000000,0.95,0.0001333523766269882,0.9697514000276148,normal,1,COMPLETE
69,1.338257074356079,2020-06-28 08:16:02.702524,2020-06-28 08:48:08.206168,0 days 00:32:05.503644000,128,1000000,0.995,5.3503389001906986e-05,0.6873347046943735,normal,10,COMPLETE
70,1.3106945753097534,2020-06-28 08:48:08.208068,2020-06-28 09:08:32.231541,0 days 00:20:24.023473000,32,1000000,0.999,0.0012376273126398277,0.8191211601326281,normal,100,COMPLETE
71,1.2302418947219849,2020-06-28 09:08:32.233307,2020-06-28 09:27:51.798845,0 days 00:19:19.565538000,32,1000000,0.999,0.0011249286976613144,0.8326412050184251,normal,100,COMPLETE
72,1.4093332290649414,2020-06-28 09:27:51.800677,2020-06-28 09:47:15.787176,0 days 00:19:23.986499000,32,1000000,0.999,0.001193496796894984,0.8262917513108786,normal,100,COMPLETE
73,3.9687671661376953,2020-06-28 09:47:15.789186,2020-06-28 09:52:38.563041,0 days 00:05:22.773855000,32,1000000,0.999,0.006360131125070903,0.7664437901330459,normal,100,PRUNED
74,1.4172807931900024,2020-06-28 09:52:38.742859,2020-06-28 10:11:56.685371,0 days 00:19:17.942512000,32,1000000,0.999,0.0016004232211848924,0.8494006625219269,normal,100,COMPLETE
75,1.3737595081329346,2020-06-28 10:11:56.687214,2020-06-28 10:31:54.965058,0 days 00:19:58.277844000,32,1000000,0.999,0.0010152163893387234,0.8806081395914703,normal,100,COMPLETE
76,4.745392799377441,2020-06-28 10:31:54.966774,2020-06-28 10:40:54.871982,0 days 00:08:59.905208000,32,1000000,0.999,0.003037399812170027,0.7828241892011133,normal,100,PRUNED
77,1.4979135990142822,2020-06-28 10:40:55.063754,2020-06-28 11:01:06.135110,0 days 00:20:11.071356000,32,1000000,0.999,0.0027638455852768483,0.7289790717409277,normal,100,COMPLETE
78,1.3008224964141846,2020-06-28 11:01:06.137049,2020-06-28 11:20:26.174906,0 days 00:19:20.037857000,32,100000,0.999,0.000660747346934778,0.9188080874620939,normal,100,COMPLETE
79,1.6630302667617798,2020-06-28 11:20:26.176604,2020-06-28 11:39:26.297650,0 days 00:19:00.121046000,32,100000,0.999,0.0005795829463706765,0.9311584838938106,normal,100,COMPLETE
80,1.4507137537002563,2020-06-28 11:39:26.299408,2020-06-28 11:59:19.178050,0 days 00:19:52.878642000,32,100000,0.999,0.000773180600851294,0.9777702229103461,normal,100,COMPLETE
81,1.1603970527648926,2020-06-28 11:59:19.179975,2020-06-28 12:08:18.364069,0 days 00:08:59.184094000,32,100000,0.999,0.0004310900549656586,0.8344920385472968,normal,100,PRUNED
82,1.914520263671875,2020-06-28 12:08:18.550704,2020-06-28 12:16:50.747853,0 days 00:08:32.197149000,32,100000,0.999,0.0020793964757779898,0.9127150397540329,normal,100,PRUNED
83,1.9099204540252686,2020-06-28 12:16:50.960050,2020-06-28 12:27:21.109410,0 days 00:10:30.149360000,64,100000,0.999,8.114913640920022e-05,0.8759426849406046,normal,100,PRUNED
84,1.447383999824524,2020-06-28 12:27:21.318765,2020-06-28 13:43:00.795087,0 days 01:15:39.476322000,512,10000,0.9,0.0003123608980082216,0.942427430353212,normal,100,COMPLETE
85,3.2341532707214355,2020-06-28 13:43:00.796676,2020-06-28 13:50:04.450135,0 days 00:07:03.653459000,16,1000000,0.99,0.004150335800412779,0.6677704634926204,normal,1,PRUNED
86,1.7046802043914795,2020-06-28 13:50:04.648320,2020-06-28 14:11:41.977833,0 days 00:21:37.329513000,256,1000000,0.999,0.0015554609463405726,0.8047588779477675,normal,1000,PRUNED
87,1.61434006690979,2020-06-28 14:11:42.171872,2020-06-28 14:32:36.305288,0 days 00:20:54.133416000,32,100000,0.9999,4.3759908478861894e-05,0.5678864493339015,ornstein-uhlenbeck,100,COMPLETE
88,2.899291515350342,2020-06-28 14:32:36.307136,2020-06-28 14:42:26.434540,0 days 00:09:50.127404000,32,1000000,0.999,0.0005780387098541953,0.8412984832001456,normal,1,PRUNED
89,1.3656971454620361,2020-06-28 14:42:26.660666,2020-06-28 15:30:05.267367,0 days 00:47:38.606701000,256,1000000,0.95,0.00010938918500691074,0.7362306899926786,normal,100,COMPLETE
90,4.07596492767334,2020-06-28 15:30:05.269390,2020-06-28 15:48:57.994572,0 days 00:18:52.725182000,16,1000000,0.9,0.0009973512664500123,0.91182430425858,normal,100,COMPLETE
91,1.4420077800750732,2020-06-28 15:48:57.996416,2020-06-28 16:19:46.813637,0 days 00:30:48.817221000,128,1000000,0.95,0.00018946538049809743,0.8927932930028099,normal,10,COMPLETE
92,1.4017932415008545,2020-06-28 16:19:46.815590,2020-06-28 16:50:20.351805,0 days 00:30:33.536215000,128,1000000,0.95,0.000360667641753215,0.9530072530698361,normal,10,COMPLETE
93,1.4086945056915283,2020-06-28 16:50:20.353625,2020-06-28 17:21:11.250520,0 days 00:30:50.896895000,128,1000000,0.95,0.00015723794745187006,0.8625744459752114,normal,10,COMPLETE
94,1.45024836063385,2020-06-28 17:21:11.252544,2020-06-28 17:52:23.390390,0 days 00:31:12.137846000,128,1000000,0.95,6.709885031051575e-05,0.9967315093556456,normal,10,COMPLETE
95,1.2539840936660767,2020-06-28 17:52:23.392550,2020-06-28 18:04:37.508185,0 days 00:12:14.115635000,100,1000000,0.95,0.00023988265429672045,0.9135811849181388,normal,10,PRUNED
96,2.5078628063201904,2020-06-28 18:04:37.698108,2020-06-28 18:35:09.632581,0 days 00:30:31.934473000,128,1000000,0.999,9.89284258599369e-05,0.9718890520230764,normal,10,COMPLETE
97,1.137420415878296,2020-06-28 18:35:09.634698,2020-06-28 18:45:13.498075,0 days 00:10:03.863377000,64,1000000,0.95,3.171756167704746e-05,0.8326828942890847,normal,1,PRUNED
98,1.6463254690170288,2020-06-28 18:45:13.689331,2020-06-28 19:11:55.218609,0 days 00:26:41.529278000,100,1000000,0.995,4.800298141235332e-05,0.8774780664217782,normal,10,COMPLETE
99,1.6142688989639282,2020-06-28 19:11:55.220545,2020-06-28 19:33:31.360728,0 days 00:21:36.140183000,32,10000,0.95,0.0001332936245103171,0.7624457170305654,normal,100,COMPLETE
