seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,timesteps
-0.37700037732517233,-0.3992670084834735,-0.3834482276602015,-0.9762752959953347,-0.43281128488098475,-0.27040087656529554,-0.5572174618903512,-0.4522122816705445,-0.5603507171462849,-0.8742823336591897,3500
-0.4586185100757062,-1.0690780533773905,-0.3568249176233181,-0.417941228739663,-0.97400659040617,-0.3859334593699467,-1.0072836538944094,-0.392773140382462,-0.6467992223472245,-0.4207152411570498,3600
-0.3877577755046179,-0.3038468495167898,-0.6911483045246096,-0.49934054968051306,-0.3506864393845033,-0.40168300078408326,-0.40537380340878215,-0.5711484218570116,-0.45921159118213295,-0.4033695652436606,3700
-0.3607101949162041,-0.35490046743170706,-0.5489137679234445,-0.36245920302345846,-0.4376266184633384,-0.8494904263284292,-0.3713125126209583,-0.6090678031966174,-0.562932879911746,-0.4472758275953073,3800
-0.5182763895910343,-0.5441783952909361,-0.4908403754358142,-0.43827944944828034,-0.47408811842394866,-0.46371912658736514,-0.7636922513778396,-0.4312889413537543,-0.44026205665140256,-0.48065860770252233,3900
-0.35458935620354104,-0.25854291965532245,-0.4960969427408931,-0.4484243646352947,-0.35914222903919485,-0.4277349138254337,-0.4259066178371325,-0.31533757043108585,-0.35315120982166354,-0.5771280335372293,4000
-0.6837687799456093,-0.3580189082084749,-0.34946189571901104,-0.8413100049306592,-0.4192038194108957,-0.6142113173770716,-0.6250658735881461,-0.47556539775852685,-0.3974312193991236,-0.6148600884955793,4100
-0.3621065498552054,-0.5077757469233581,-0.39865214061376475,-0.7825357167658366,-0.3772809344008485,-0.31441140737121115,-0.26184158202144664,-0.4788025872293499,-0.5132467274600409,-0.4659940977540502,4200
-0.38989526898254245,-0.34843489638330366,-0.3765146764237386,-0.3588906387283045,-0.598837602682766,-0.6728254709295113,-0.36740312251956153,-0.5300579175991521,-0.728771424074641,-0.5065401168834601,4300
-0.5376451941345592,-0.4004075246546697,-0.557206507543634,-0.4246054782535556,-0.35630057668085596,-0.5036012422704774,-0.2966337015336506,-0.7142878388423424,-0.33715090036591505,-0.4643792280847412,4400
-0.5495446047805798,-0.271725171419048,-0.6131237208247263,-0.5596059389038864,-0.3148518716928241,-0.40086029008985363,-0.4630849818395732,-1.0411407780827469,-0.38003622722892527,-1.0069127573357775,4500
-0.3318726724014409,-2.0037112434845383,-0.5201037191933772,-0.3684107695642186,-0.4536019052266492,-0.3877798119376184,-0.36886856927471956,-0.41126193089669005,-0.6341880622097643,-0.405985413749144,4600
-0.8447279275026554,-0.4090261950890798,-0.5496613489351947,-0.4560515484844316,-0.3778038703035657,-0.7936433533496717,-0.500465202118924,-0.377626077755824,-0.3554959129074991,-0.3623680771520218,4700
-0.36666436347528875,-0.35734218717542754,-0.3634958345549038,-0.34486842386577304,-0.3958009171598016,-0.4305302882282182,-0.8507482356916874,-0.4056035320552753,-0.37234977145018705,-1.1068748917502516,4800
-0.37250311776753686,-0.44467086506199927,-0.42888869240732025,-1.5917190443668432,-0.36887040674352567,-0.4029076050348106,-1.1668695853226503,-0.31983478005517935,-0.3547019072916158,-0.38707978711153374,4900
-0.34709785428583106,-0.330679259466918,-0.3963456105803296,-0.399180977359505,-0.5693852963771802,-0.44978540085946717,-0.9943635344440644,-0.381775367483919,-0.3895781926400398,-0.3347065124697977,5000
-0.3309308587470236,-0.5138496897787325,-0.6335256161940872,-0.8541280242655803,-0.8468564373641011,-0.41481378136210195,-0.2773262463522539,-0.356958026626955,-0.6165964835600509,-0.32950998922618524,5100
-0.5809045883840838,-0.3928969576748124,-0.4236119168098744,-0.3931789737435411,-0.3890251223990646,-0.4574956617677307,-0.5765323825578825,-0.59417499675822,-0.6936367401110562,-0.33363562014152287,5200
-0.3398933256238573,-0.556696028344144,-0.3849449545426051,-0.36415141544508334,-0.4665236422110929,-0.3546284690034118,-0.29692972391830025,-0.35538856434209126,-0.39514875900386115,-0.3525452843582055,5300
-0.35419250047658307,-0.41796775093965943,-0.194986755496492,-0.5462656728111551,-0.43587465739940556,-0.5101673926197633,-0.3864078943443939,-0.3722445933789124,-0.35426601136940994,-0.4309818935191507,5400
-0.5099858093212345,-0.542913668889166,-0.35793146111790086,-0.3966508035079868,-0.5010247999049222,-0.3924784103654434,-0.42962688144732186,-0.45746587348440687,-0.5247354106159146,-0.4470724562911057,5500
