number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
40,0.9396732449531555,2020-06-14 16:32:16.219065,2020-06-14 18:10:01.179517,0 days 01:37:44.960452000,2.834641126225266e-08,0.99,0.4080919474461799,linear,64,0.023486353636479995,COMPLETE
41,0.4928138852119446,2020-06-14 16:32:17.882091,2020-06-14 18:15:04.858022,0 days 01:42:46.975931000,0.021005896962083166,0.95,2.2007612387225918e-05,constant,8,0.1896794360807208,COMPLETE
42,0.3872893154621124,2020-06-14 16:33:10.537398,2020-06-14 18:12:40.545671,0 days 01:39:30.008273000,3.026184181628654e-07,0.95,1.355876748028034e-05,constant,512,0.14851589399774312,COMPLETE
43,1.9530885219573975,2020-06-14 16:33:23.618062,2020-06-14 17:08:58.815403,0 days 00:35:35.197341000,2.4738899574866708e-08,0.995,0.8998902939909592,constant,16,0.7943775813516276,PRUNED
44,0.4075905680656433,2020-06-14 16:33:38.436042,2020-06-14 18:12:12.984714,0 days 01:38:34.548672000,1.285441958157363e-06,0.9999,2.9721635648757167e-05,linear,128,0.7179181191507129,COMPLETE
45,0.3446209132671356,2020-06-14 16:33:41.933365,2020-06-14 18:12:03.453943,0 days 01:38:21.520578000,9.700443342022813e-06,0.9,0.22013386787501357,linear,128,0.8827799808690432,COMPLETE
46,0.49631309509277344,2020-06-14 16:33:57.010673,2020-06-14 17:14:07.568745,0 days 00:40:10.558072000,0.024677191263423506,0.995,0.00010158873241765745,linear,1024,0.9204331241851127,PRUNED
47,0.34569066762924194,2020-06-14 16:33:59.748912,2020-06-14 18:12:01.898850,0 days 01:38:02.149938000,0.0211585511727311,0.9,0.2151465950477857,linear,1024,0.9326434186972568,COMPLETE
48,0.9855033159255981,2020-06-14 16:34:00.664215,2020-06-14 18:13:39.641757,0 days 01:39:38.977542000,1.2044858926218933e-05,0.95,0.0003854723993161923,constant,32,0.2881799305863535,COMPLETE
49,3.980900526046753,2020-06-14 16:34:05.472889,2020-06-14 18:14:51.475871,0 days 01:40:46.002982000,1.1638964734542041e-08,0.995,0.03920228365623432,constant,16,0.9987662864697682,COMPLETE
50,0.6076237559318542,2020-06-14 16:34:09.696914,2020-06-14 17:12:05.798302,0 days 00:37:56.101388000,1.0589249107877322e-08,0.9,0.0029973081591108167,constant,8,0.9851807162028372,PRUNED
51,0.36097052693367004,2020-06-14 16:34:14.739758,2020-06-14 18:12:28.746196,0 days 01:38:14.006438000,1.819309097110681e-08,0.9,0.0035559641947638075,constant,1024,0.8558376714119933,COMPLETE
52,0.3831307291984558,2020-06-14 16:34:20.286832,2020-06-14 18:13:12.001639,0 days 01:38:51.714807000,1.0188721244569995e-08,0.9,0.0028777692506299704,constant,1024,0.9342250096037077,COMPLETE
53,0.4867890477180481,2020-06-14 16:34:26.327620,2020-06-14 18:15:26.229077,0 days 01:40:59.901457000,1.0660134332966837e-08,0.9,0.011770398050800102,constant,16,0.17375537699696036,COMPLETE
54,3.980900526046753,2020-06-14 16:34:28.788110,2020-06-14 17:45:50.410485,0 days 01:11:21.622375000,3.064611765349471e-08,0.98,0.03700391878666213,constant,16,0.2780040541226839,PRUNED
55,3.2969653606414795,2020-06-14 16:34:36.230820,2020-06-14 18:15:20.275341,0 days 01:40:44.044521000,1.7162204669776553e-08,0.98,0.028479936702608514,constant,16,0.292290274976196,COMPLETE
56,1.2197214365005493,2020-06-14 16:34:38.056900,2020-06-14 18:14:58.901112,0 days 01:40:20.844212000,1.650873118905417e-08,0.98,0.021678328699555438,constant,16,0.0021799848651636866,COMPLETE
57,3.5774970054626465,2020-06-14 16:34:47.331855,2020-06-14 18:15:03.186898,0 days 01:40:15.855043000,1.9330591590830317e-08,0.98,0.01973874181096793,constant,16,0.009832730820242247,COMPLETE
58,3.8502044677734375,2020-06-14 16:34:50.252014,2020-06-14 18:15:16.007809,0 days 01:40:25.755795000,1.5878653006180165e-08,0.98,0.021088643803518145,constant,16,0.00035567698965294214,COMPLETE
59,1.1404601335525513,2020-06-14 16:34:52.424295,2020-06-14 18:15:17.738748,0 days 01:40:25.314453000,1.350537807627966e-08,0.98,0.024569699659484818,constant,16,0.006151917363984433,COMPLETE
60,0.35865721106529236,2020-06-14 16:35:00.970745,2020-06-14 18:13:11.706451,0 days 01:38:10.735706000,0.09866523471210267,0.9,0.01906549618127695,constant,1024,0.31209237650436866,COMPLETE
61,0.33019760251045227,2020-06-14 16:35:02.520717,2020-06-14 18:13:51.011983,0 days 01:38:48.491266000,0.0722378520546092,0.9,0.020416834720886717,constant,1024,0.3346933980424579,COMPLETE
62,0.36204594373703003,2020-06-14 16:35:10.183349,2020-06-14 18:13:55.218476,0 days 01:38:45.035127000,1.4494496739594446e-08,0.9,0.012954040630607818,constant,1024,0.31994088517880026,COMPLETE
63,0.31552475690841675,2020-06-14 16:35:15.085748,2020-06-14 18:14:07.046284,0 days 01:38:51.960536000,1.2432975005276575e-08,0.9,0.02789800730398889,constant,1024,0.14708401271756816,COMPLETE
64,0.9396732449531555,2020-06-14 16:35:19.846423,2020-06-14 18:16:36.537835,0 days 01:41:16.691412000,1.4081481503697014e-06,0.95,0.020546808508310324,constant,16,0.5540254188804091,COMPLETE
65,3.941004514694214,2020-06-14 16:35:32.175225,2020-06-14 18:16:25.495236,0 days 01:40:53.320011000,1.6687997689080036e-08,0.95,0.027318792465347422,constant,16,0.5477828651552306,COMPLETE
66,1.2294089794158936,2020-06-14 16:35:35.164206,2020-06-14 17:12:00.529417,0 days 00:36:25.365211000,8.302427999545592e-07,0.95,0.023765425747408548,constant,16,0.5461246055595916,PRUNED
67,3.953124523162842,2020-06-14 16:35:37.597855,2020-06-14 17:11:38.353786,0 days 00:36:00.755931000,9.687508151838895e-07,0.95,0.026288770588544026,constant,16,0.5465530045830688,PRUNED
68,0.34568673372268677,2020-06-14 16:36:01.399460,2020-06-14 18:14:19.660951,0 days 01:38:18.261491000,1.7820702475149944e-06,0.95,0.015191902495665037,constant,1024,0.5396465859653242,COMPLETE
69,0.3480951488018036,2020-06-14 16:36:03.497456,2020-06-14 18:14:42.363041,0 days 01:38:38.865585000,1.1502902290722179e-06,0.95,0.011040411703857493,constant,1024,0.5435613808256068,COMPLETE
70,0.33260616660118103,2020-06-14 16:36:03.860038,2020-06-14 18:14:46.589588,0 days 01:38:42.729550000,1.8833667469529575e-06,0.95,0.02327991182546083,constant,1024,0.33793390111633526,COMPLETE
71,0.37217456102371216,2020-06-14 16:36:08.662051,2020-06-14 18:15:32.743775,0 days 01:39:24.081724000,1.679671765417655e-08,0.95,0.009721970364110618,constant,1024,0.5615960050447877,COMPLETE
72,0.3646005392074585,2020-06-14 16:36:20.872796,2020-06-14 18:15:03.117670,0 days 01:38:42.244874000,7.18116745543052e-08,0.9,0.011371100214709051,constant,1024,0.5702779269774456,COMPLETE
73,0.3625241219997406,2020-06-14 16:36:56.728931,2020-06-14 18:16:01.137842,0 days 01:39:04.408911000,1.0072324563754782e-08,0.9,0.01727410047902483,constant,1024,0.5244641259123651,COMPLETE
74,0.3530901074409485,2020-06-14 16:37:21.562093,2020-06-14 18:15:45.540449,0 days 01:38:23.978356000,4.732018291307501e-08,0.95,0.018169850224719807,constant,1024,0.5392153770056074,COMPLETE
75,0.34051960706710815,2020-06-14 16:37:33.516809,2020-06-14 18:16:06.458218,0 days 01:38:32.941409000,3.924621639605286e-08,0.95,0.01805605021268696,constant,1024,0.5483665113820976,COMPLETE
76,0.38309505581855774,2020-06-14 16:38:39.422574,2020-06-14 18:16:30.287419,0 days 01:37:50.864845000,4.075528789525638e-08,0.9,0.006900914587597805,constant,1024,0.5270601355781221,COMPLETE
77,0.3396483361721039,2020-06-14 16:39:20.920951,2020-06-14 18:17:06.220123,0 days 01:37:45.299172000,5.3394333738052105e-08,0.98,0.018989661279034748,constant,1024,0.0008438690865022747,COMPLETE
78,0.3536836504936218,2020-06-14 16:39:41.538433,2020-06-14 18:18:49.315609,0 days 01:39:07.777176000,4.98673549464672e-07,0.98,0.02355415045733164,constant,1024,0.004991684102987171,COMPLETE
79,0.342695415019989,2020-06-14 16:42:03.742629,2020-06-14 18:19:32.037380,0 days 01:37:28.294751000,4.694816349862589e-05,0.98,0.011908527562803925,constant,1024,0.013232464801312294,COMPLETE
80,0.3601161241531372,2020-06-14 17:08:59.825175,2020-06-14 18:29:34.516789,0 days 01:20:34.691614000,0.005480113704665418,0.9,0.02208089997013612,constant,1024,0.00812308249902187,COMPLETE
81,0.35299229621887207,2020-06-14 17:11:39.413322,2020-06-14 18:31:04.477145,0 days 01:19:25.063823000,0.0045678437457646725,0.9,0.009953198056244233,constant,1024,0.02311292320848063,COMPLETE
82,0.3553383946418762,2020-06-14 17:12:01.811413,2020-06-14 18:31:28.871110,0 days 01:19:27.059697000,0.0027529315039170085,0.9,0.010315216582020816,constant,1024,0.0024513977813030996,COMPLETE
83,0.37080660462379456,2020-06-14 17:12:06.759602,2020-06-14 18:31:54.533789,0 days 01:19:47.774187000,0.007586910724414859,0.9,0.006853260613415482,constant,1024,0.16709529174239807,COMPLETE
84,0.37210318446159363,2020-06-14 17:14:08.815341,2020-06-14 18:31:33.341069,0 days 01:17:24.525728000,0.00471988594005125,0.9,0.009448675273490146,constant,1024,0.008465266290428763,COMPLETE
85,0.3653199374675751,2020-06-14 17:45:51.433100,2020-06-14 18:40:41.677673,0 days 00:54:50.244573000,0.0046109994788912515,0.9,0.010794464785178327,constant,1024,0.1571563161055926,COMPLETE
86,0.36790746450424194,2020-06-14 18:10:01.182879,2020-06-14 18:47:08.416073,0 days 00:37:07.233194000,0.0071529288679054795,0.9,0.007329562684609615,constant,1024,0.1815594197486084,COMPLETE
87,0.3463786244392395,2020-06-14 18:12:01.905714,2020-06-14 18:47:17.716624,0 days 00:35:15.810910000,0.006519370154076958,0.9,0.009951977515372124,constant,1024,0.3614101895710049,COMPLETE
88,0.3757738471031189,2020-06-14 18:12:03.457427,2020-06-14 18:46:42.024894,0 days 00:34:38.567467000,0.002948786335411237,0.9,0.00968873408449589,constant,2048,0.8497842808522921,COMPLETE
89,0.3832966387271881,2020-06-14 18:12:12.988776,2020-06-14 18:47:01.449924,0 days 00:34:48.461148000,0.0034860792615034513,0.9,0.012137908871351888,constant,2048,0.8564965501918688,COMPLETE
90,0.378333181142807,2020-06-14 18:12:28.763788,2020-06-14 18:47:15.996026,0 days 00:34:47.232238000,0.00329442711982791,0.9,0.009279275322387873,constant,1024,0.3449667494218791,COMPLETE
91,0.3633381724357605,2020-06-14 18:12:40.547896,2020-06-14 18:47:19.154052,0 days 00:34:38.606156000,4.107803136004699e-05,0.9,0.014882076162944766,constant,1024,0.030825556345193572,COMPLETE
92,0.5893901586532593,2020-06-14 18:13:11.746810,2020-06-14 18:30:16.142824,0 days 00:17:04.396014000,5.089099849260641e-05,0.9,0.010406069905607364,constant,2048,0.3541689114647302,PRUNED
93,0.3268182873725891,2020-06-14 18:13:12.002899,2020-06-14 18:47:18.101697,0 days 00:34:06.098798000,0.0028538637993762842,0.9,0.05506361820708193,constant,2048,0.3523105367935059,COMPLETE
94,0.4059934616088867,2020-06-14 18:13:39.651173,2020-06-14 18:47:16.878446,0 days 00:33:37.227273000,3.334271268486e-05,0.9,0.011932929999455135,constant,2048,0.018338020651590126,COMPLETE
95,0.36645543575286865,2020-06-14 18:13:51.013572,2020-06-14 18:47:17.879631,0 days 00:33:26.866059000,0.04540348158485136,0.9,0.0070281069824864794,constant,2048,0.8081907460568816,COMPLETE
96,0.4963085651397705,2020-06-14 18:13:55.229721,2020-06-14 18:30:42.389672,0 days 00:16:47.159951000,4.51672685407681e-05,0.9,0.012138464144847268,constant,2048,0.3598378774140747,PRUNED
97,0.38042449951171875,2020-06-14 18:14:07.056099,2020-06-14 18:47:17.376665,0 days 00:33:10.320566000,7.795102808067903e-08,0.9,0.00918324039127187,constant,2048,0.037750761236948316,COMPLETE
98,0.37095364928245544,2020-06-14 18:14:19.674644,2020-06-14 18:47:17.143832,0 days 00:32:57.469188000,8.718784015248649e-08,0.9,0.010740001857892006,constant,2048,0.010968805228590034,COMPLETE
99,0.4198751449584961,2020-06-14 18:14:42.364572,2020-06-14 18:32:36.960052,0 days 00:17:54.595480000,7.601320403390024e-08,0.9,0.007748202254707031,constant,2048,0.003180797886867731,PRUNED
