seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,timesteps
-4.1446049443988215,-2.18276285259435,-3.099538519868919,-3.4095765873812156,-4.411520651125469,-1.6018346406457762,-2.0191596793549578,-3.4914492599128923,-1.6896525822305952,-1.7872841829928294,1200
-3.0569333290313985,-3.2745138347334635,-2.0796171911745205,-2.6705415799526815,-3.9943119713839166,-1.712035218106156,-2.7007307988298375,-3.897610290812681,-1.5097554504488941,-3.193188903070757,1300
-3.7914485848386486,-3.2670200434980723,-2.468329838104532,-2.973272064636498,-2.791310887764869,-2.2769157689487742,-2.831081044038048,-4.150533186824511,-3.161193455229233,-2.0205436985798007,1400
-2.1567630417197745,-3.960145591386505,-4.017983176466356,-4.1075448057019015,-3.9541041933447842,-3.2871687589584813,-2.6603367746256135,-5.135907215333328,-2.60175220626617,-3.1246012528428007,1500
-3.4312818492339554,-3.2318968023793633,-2.5941736979989027,-1.5164002846524973,-3.0764067430207316,-2.707940862139446,-2.5348555377699022,-3.0832417416034144,-2.8799883937433255,-3.685797069005095,1600
-3.489007661902196,-4.153320446986188,-3.6672253811842532,-3.319182439319153,-3.146694576558339,-2.815214293404823,-3.5167326500637994,-2.0833244765870353,-3.4416491182904254,-2.203448408183017,1700
-3.258626057427921,-4.706322199512874,-1.77599398492769,-3.3532618333766915,-2.798856606555914,-3.093120169257937,-3.8527945202126492,-2.2855537857077417,-2.131830137237071,-2.8881119347782445,1800
-3.89596751949206,-3.3958182050118264,-4.291694796493505,-2.4355647499143016,-2.7712325531192175,-3.034227743058738,-1.9016303535306087,-2.974897348009146,-2.6329864054275522,-2.002747912746435,1900
-4.216343196044049,-3.753947334000332,-2.131635661059474,-3.06889357574657,-4.639028423832878,-3.421962094448046,-2.44903544884774,-3.0056756794612585,-3.1310739053625376,-3.812131055823583,2000
-4.19096216887377,-4.837562398326109,-3.141959566129195,-2.8921544124054672,-3.866491980111138,-3.275008978769874,-2.9512954198654513,-3.553118174835985,-3.5961101700416953,-2.9198021770076306,2100
-2.214686036086397,-3.153520161400511,-2.533077825678569,-3.8265729573319516,-2.9921629649324184,-2.634053643420702,-5.209087390687226,-1.5933274357069396,-3.7578542567592685,-2.1227875174380473,2200
-2.4907229354725846,-4.172368336056218,-2.691720917952584,-2.5740950472930404,-3.326960547349841,-4.374947434089886,-2.7111042311745948,-3.4592662416503273,-3.4102122420140226,-2.2217383362448944,2300
-1.8528619855084638,-2.6335978514746192,-2.6454200214893295,-5.34932427869961,-1.6872575955634281,-2.660549038621318,-1.6037573708591735,-1.2759051162490143,-2.161165013191873,-2.8743381641927166,2400
-2.033769170101204,-3.0428967187347298,-3.318493964843308,-3.5270835499357,-3.585472871961119,-1.920231307228356,-4.55040313466684,-2.8909555726369374,-2.9328102230840507,-3.2727860102471653,2500
-2.852270765108953,-2.6883495676737255,-3.0008157699893863,-4.286254619667791,-3.8171908509328127,-3.731141316769508,-2.9217478158982537,-2.303048214873703,-2.1526350139356087,-5.124756030236098,2600
-4.103890500546601,-2.5268402054200263,-2.093299688557153,-2.9223788147458096,-4.684605303407405,-3.719802101963578,-3.0042596455171706,-3.054849356379649,-3.19966486431722,-2.0440933132213184,2700
-1.7840219004851436,-2.073361958257449,-3.1936492066310427,-3.8355984103966567,-2.308563312872251,-4.606283838904225,-2.1764320697686355,-4.213053194100212,-2.1984221201671192,-3.335431927803059,2800
-2.202879138046261,-3.080837824658477,-2.9004044522305397,-2.998759791187973,-2.1087185305820717,-3.5644124017500776,-3.50364129566749,-2.2799371710892733,-4.416724276638628,-2.9339365632525234,2900
-2.8830155622377114,-3.521103986966959,-2.3456529920570564,-4.089010696811082,-4.847442516651289,-2.8229103743262214,-1.543107987449928,-2.534584897352662,-5.022145536390912,-2.385051818117814,3000
-2.7791079781677865,-2.4643973073335967,-3.6200458489540717,-3.0190104184042017,-3.2549242875828943,-4.087551463995897,-3.173809357738347,-3.7820200389921514,-4.94128465373516,-3.7550032181880106,3100
