number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cliprange,params_ent_coef,params_gamma,params_lamdba,params_lr,params_n_steps,params_noptepochs,state
58,0.746151328086853,2020-06-16 12:03:50.032456,2020-06-16 13:44:12.759700,0 days 01:40:22.727244000,64,0.1,0.01572837507731183,0.999,0.9,0.009580493725943785,512,10,COMPLETE
59,2.598355531692505,2020-06-16 12:05:20.620176,2020-06-16 12:43:00.684188,0 days 00:37:40.064012000,64,0.1,0.07581879071002683,0.99,0.9,0.009093062629557117,512,10,PRUNED
60,1.8897526264190674,2020-06-16 12:05:22.631239,2020-06-16 12:42:39.623406,0 days 00:37:16.992167000,64,0.4,0.018988634565309564,0.99,0.9,0.8987997964920137,64,10,PRUNED
61,0.5851911306381226,2020-06-16 12:05:36.386544,2020-06-16 13:39:09.114139,0 days 01:33:32.727595000,64,0.2,0.05285561085111117,0.99,0.9,0.009087217444284819,512,1,COMPLETE
62,2.330703020095825,2020-06-16 12:05:55.514758,2020-06-16 12:40:02.340923,0 days 00:34:06.826165000,64,0.2,0.06609042547772076,0.99,0.9,0.01257454777405265,512,1,PRUNED
63,0.008236990310251713,2020-06-16 12:06:17.316219,2020-06-16 14:00:25.345960,0 days 01:54:08.029741000,64,0.2,0.07930061358541166,0.99,0.99,0.008527666881833271,512,50,COMPLETE
64,1.4506638050079346,2020-06-16 12:06:46.831940,2020-06-16 12:45:32.051985,0 days 00:38:45.220045000,64,0.2,0.016747594825456933,0.99,1.0,0.010883408328317143,512,1,PRUNED
65,1.1100012063980103,2020-06-16 12:07:16.456897,2020-06-16 13:41:33.145745,0 days 01:34:16.688848000,64,0.2,0.059190433973481435,0.99,1.0,0.09339394209928328,16,1,COMPLETE
66,0.33759793639183044,2020-06-16 12:07:30.471744,2020-06-16 13:39:53.643318,0 days 01:32:23.171574000,64,0.2,0.039161086390379185,0.99,0.92,0.9780493247797346,512,1,COMPLETE
67,0.3850402235984802,2020-06-16 12:07:44.669001,2020-06-16 13:40:07.573147,0 days 01:32:22.904146000,64,0.2,0.05187889112284969,0.99,0.9,0.8965851019071435,512,1,COMPLETE
68,1.6585794687271118,2020-06-16 12:09:27.950833,2020-06-16 13:02:41.063510,0 days 00:53:13.112677000,64,0.2,0.08374274271672488,0.99,0.9,7.360731552569832e-05,64,50,PRUNED
69,1.1676183938980103,2020-06-16 12:13:51.819237,2020-06-16 13:53:53.577446,0 days 01:40:01.758209000,64,0.2,0.017241309550929496,0.99,0.9,7.045508627595485e-05,512,20,COMPLETE
70,4.135803699493408,2020-06-16 12:19:53.617580,2020-06-16 12:53:59.938341,0 days 00:34:06.320761000,64,0.2,0.04795725655563488,0.99,0.9,5.2148496444839464e-05,64,1,PRUNED
71,4.904274940490723,2020-06-16 12:20:21.127225,2020-06-16 13:00:36.435080,0 days 00:40:15.307855000,64,0.2,0.04374141522240085,0.99,0.9,4.7583225128869995e-05,16,1,PRUNED
