number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_lr,params_n_sampled_goal,params_noise_std,params_noise_type,params_random_exploration,params_train_freq,state
43,4.176452159881592,2020-06-26 08:59:22.750086,2020-06-26 09:08:09.134156,0 days 00:08:46.384070000,128,10000,0.98,6.649737950761722e-05,8,0.11104202863437945,ornstein-uhlenbeck,0.9605720306067216,1000,COMPLETE
44,2.7054412364959717,2020-06-26 09:08:09.135652,2020-06-26 09:17:09.438309,0 days 00:09:00.302657000,128,10000,0.98,0.00019788019283455775,6,0.5231960257968705,ornstein-uhlenbeck,0.4437547873185674,1000,COMPLETE
45,4.944923400878906,2020-06-26 09:17:09.440026,2020-06-26 09:26:07.866282,0 days 00:08:58.426256000,128,10000,0.98,2.2250966338982702e-05,6,0.06065371709417195,ornstein-uhlenbeck,0.31738148127706656,100,COMPLETE
46,3.5593953132629395,2020-06-26 09:26:07.868017,2020-06-26 09:34:28.615936,0 days 00:08:20.747919000,100,100000,0.995,1.0337520497980931e-05,2,0.3992778528123363,normal,0.23058492383507,10,COMPLETE
47,3.625817060470581,2020-06-26 09:34:28.617552,2020-06-26 09:45:57.751602,0 days 00:11:29.134050000,256,10000,0.9999,0.004338497881579415,8,0.0049828545727960485,ornstein-uhlenbeck,0.1788472745584509,1000,COMPLETE
48,6.2405853271484375,2020-06-26 09:45:57.753243,2020-06-26 09:51:18.291271,0 days 00:05:20.538028000,64,1000000,0.99,4.4353563578179595e-05,6,0.6729320658710412,ornstein-uhlenbeck,0.2581533426303961,1,PRUNED
49,1.7174755334854126,2020-06-26 09:51:18.778672,2020-06-26 09:58:19.305939,0 days 00:07:00.527267000,16,100000,0.9,0.0016215687276003958,2,0.21719806082178889,ornstein-uhlenbeck,0.048594320991677764,2000,COMPLETE
50,2.5252628326416016,2020-06-26 09:58:19.307685,2020-06-26 10:05:22.431442,0 days 00:07:03.123757000,16,100000,0.9,0.001740424284323411,2,0.20967801947789666,ornstein-uhlenbeck,0.00018195163606074885,2000,COMPLETE
51,5.05759334564209,2020-06-26 10:05:22.433112,2020-06-26 10:07:46.518653,0 days 00:02:24.085541000,16,100000,0.9,0.000735864651337179,2,0.1381452408503604,ornstein-uhlenbeck,0.05832020932935162,2000,PRUNED
52,5.140297889709473,2020-06-26 10:07:46.744920,2020-06-26 10:10:11.219555,0 days 00:02:24.474635000,16,100000,0.9,0.01069750709119944,2,0.061662630060418167,ornstein-uhlenbeck,0.10113572021719572,2000,PRUNED
53,5.7917585372924805,2020-06-26 10:10:11.463632,2020-06-26 10:17:04.241458,0 days 00:06:52.777826000,16,100000,0.98,0.00037105985871821565,2,0.2846845525850441,ornstein-uhlenbeck,0.13222783574914007,2000,COMPLETE
54,4.556981086730957,2020-06-26 10:17:04.243212,2020-06-26 10:25:38.603057,0 days 00:08:34.359845000,100,100000,0.9,0.0015579129840561454,2,0.20561898798125577,ornstein-uhlenbeck,0.005950749625479687,2000,COMPLETE
55,8.160126686096191,2020-06-26 10:25:38.604886,2020-06-26 10:33:59.802974,0 days 00:08:21.198088000,512,10000,0.99,0.0032169157981748182,4,0.35571759403077063,ornstein-uhlenbeck,0.04165504947769033,1000,PRUNED
56,3.1929574012756348,2020-06-26 10:34:00.001768,2020-06-26 10:42:29.881011,0 days 00:08:29.879243000,100,100000,0.98,0.0005874379017621844,2,0.44128329492469437,ornstein-uhlenbeck,0.15130837539852954,1000,COMPLETE
57,2.3973140716552734,2020-06-26 10:42:29.882789,2020-06-26 10:51:13.317921,0 days 00:08:43.435132000,128,10000,0.9999,0.0001079440687904893,1,0.10651334515604526,ornstein-uhlenbeck,0.2286306998026284,2000,COMPLETE
58,6.851165771484375,2020-06-26 10:51:13.319564,2020-06-26 10:58:37.340043,0 days 00:07:24.020479000,16,100000,0.999,0.001243441540929574,6,0.7421355228033594,ornstein-uhlenbeck,0.09878548528472036,1000,COMPLETE
59,2.8968217372894287,2020-06-26 10:58:37.341923,2020-06-26 11:16:08.199846,0 days 00:17:30.857923000,100,10000,0.9,6.464588108975342e-05,2,0.041164094235666096,normal,0.28855197337027083,1,COMPLETE
60,3.050903797149658,2020-06-26 11:16:08.201719,2020-06-26 11:25:22.128269,0 days 00:09:13.926550000,128,10000,0.99,0.00026846965862880825,6,0.13402864636504574,ornstein-uhlenbeck,0.19929967566461843,100,COMPLETE
61,3.3766703605651855,2020-06-26 11:25:22.130013,2020-06-26 11:36:47.369808,0 days 00:11:25.239795000,256,100000,0.995,0.9719076324667894,8,0.9755976980826004,ornstein-uhlenbeck,0.3592133110819462,1000,COMPLETE
62,4.2091779708862305,2020-06-26 11:36:47.371667,2020-06-26 11:48:14.481216,0 days 00:11:27.109549000,256,100000,0.995,0.16840764905834069,8,0.22839225327316925,ornstein-uhlenbeck,0.4731332148586874,1000,COMPLETE
63,4.303478240966797,2020-06-26 11:48:14.483035,2020-06-26 11:59:35.802921,0 days 00:11:21.319886000,256,100000,0.995,0.0008471578578185597,8,0.6322880248779041,ornstein-uhlenbeck,0.38798044984708824,1000,COMPLETE
64,5.628316402435303,2020-06-26 11:59:35.804863,2020-06-26 12:03:29.777947,0 days 00:03:53.973084000,256,100000,0.995,0.0023560922522634447,8,0.07966780245694924,ornstein-uhlenbeck,0.4253613232889154,1000,PRUNED
65,5.231469631195068,2020-06-26 12:03:30.057672,2020-06-26 12:05:53.709694,0 days 00:02:23.652022000,32,100000,0.9999,0.018413655047159735,2,0.55375814638406,ornstein-uhlenbeck,0.4957522118429453,1000,PRUNED
66,4.742285251617432,2020-06-26 12:05:53.960320,2020-06-26 12:14:22.689875,0 days 00:08:28.729555000,100,10000,0.98,1.6624227623246974e-05,4,0.8183133607574133,ornstein-uhlenbeck,0.31830603705685107,2000,COMPLETE
67,4.654177665710449,2020-06-26 12:14:22.691705,2020-06-26 12:23:47.338247,0 days 00:09:24.646542000,128,100000,0.95,0.00014218075668370297,8,0.713779686748729,ornstein-uhlenbeck,0.034545442651321735,10,COMPLETE
68,3.941309690475464,2020-06-26 12:23:47.340196,2020-06-26 12:48:31.014406,0 days 00:24:43.674210000,512,10000,0.9999,0.26760343884415194,6,0.18857687936472944,ornstein-uhlenbeck,0.5582937584911424,1,COMPLETE
69,3.6377921104431152,2020-06-26 12:48:31.016204,2020-06-26 12:56:23.408146,0 days 00:07:52.391942000,64,10000,0.99,0.0004493144435826191,2,0.32964508270164905,ornstein-uhlenbeck,0.08293165086451491,1000,COMPLETE
70,5.042924404144287,2020-06-26 12:56:23.409982,2020-06-26 13:05:29.500765,0 days 00:09:06.090783000,128,1000000,0.9999,0.0011688040809704678,6,0.2557566898761894,ornstein-uhlenbeck,0.386360204654513,2000,COMPLETE
71,4.663233757019043,2020-06-26 13:05:29.502589,2020-06-26 13:14:01.787830,0 days 00:08:32.285241000,100,10000,0.9999,0.049416247114500406,4,0.12657640580502333,ornstein-uhlenbeck,0.18954037881519092,10,COMPLETE
72,4.6792168617248535,2020-06-26 13:14:01.789656,2020-06-26 13:22:37.414800,0 days 00:08:35.625144000,100,10000,0.9999,0.00709953948508365,4,0.2471275407052249,ornstein-uhlenbeck,0.2140333133899141,10,COMPLETE
73,3.5292258262634277,2020-06-26 13:22:37.416577,2020-06-26 13:31:08.542922,0 days 00:08:31.126345000,100,10000,0.9999,0.5737118806964102,4,0.3006876671528086,ornstein-uhlenbeck,0.2553504969416265,10,COMPLETE
74,6.0530877113342285,2020-06-26 13:31:08.544598,2020-06-26 13:34:06.312935,0 days 00:02:57.768337000,100,10000,0.9999,0.00024110577143034346,4,0.18212240201040156,ornstein-uhlenbeck,0.15474433308562677,10,PRUNED
75,2.3960702419281006,2020-06-26 13:34:06.486941,2020-06-26 13:42:48.811362,0 days 00:08:42.324421000,100,10000,0.98,2.8608189293040865e-05,6,0.3669154498724433,ornstein-uhlenbeck,0.11748865613528742,1000,COMPLETE
76,3.2883477210998535,2020-06-26 13:42:48.812919,2020-06-26 13:51:37.051431,0 days 00:08:48.238512000,128,10000,0.995,0.004349895603399485,1,0.15840390743278432,ornstein-uhlenbeck,0.3375187940870936,1,COMPLETE
77,3.8541901111602783,2020-06-26 13:51:37.053118,2020-06-26 13:58:16.751595,0 days 00:06:39.698477000,16,10000,0.9999,0.0005807978145436415,2,0.04550719065078529,ornstein-uhlenbeck,0.41772965344077667,10,COMPLETE
78,2.760698080062866,2020-06-26 13:58:16.752940,2020-06-26 14:09:22.402093,0 days 00:11:05.649153000,256,100000,0.999,0.001955522891912183,4,0.8907293920740514,normal,0.07309591367575416,1000,COMPLETE
79,1.1177376508712769,2020-06-26 14:09:22.403806,2020-06-26 14:18:28.895782,0 days 00:09:06.491976000,128,10000,0.98,0.0003728958613237735,6,0.4907926329853605,ornstein-uhlenbeck,0.17862342051175692,2000,COMPLETE
80,6.533500671386719,2020-06-26 14:18:28.897400,2020-06-26 14:27:36.358007,0 days 00:09:07.460607000,128,10000,0.98,8.919839776860997e-05,6,0.48519437892641837,ornstein-uhlenbeck,0.029701410345631833,2000,COMPLETE
81,6.273224830627441,2020-06-26 14:27:36.359730,2020-06-26 14:36:43.542147,0 days 00:09:07.182417000,128,10000,0.98,0.0003815894463957673,6,0.428165937697499,ornstein-uhlenbeck,0.17703798469497908,2000,COMPLETE
82,4.064878940582275,2020-06-26 14:36:43.543921,2020-06-26 14:45:49.899572,0 days 00:09:06.355651000,128,10000,0.98,0.00017730835518868585,6,0.46541472645849735,ornstein-uhlenbeck,0.2824912809761076,2000,COMPLETE
83,2.46433687210083,2020-06-26 14:45:49.901227,2020-06-26 14:54:51.745583,0 days 00:09:01.844356000,128,10000,0.98,0.0008965933394496457,6,0.5587285443589591,ornstein-uhlenbeck,0.126752179153053,2000,COMPLETE
84,7.203138828277588,2020-06-26 14:54:51.747381,2020-06-26 15:02:23.065463,0 days 00:07:31.318082000,32,10000,0.9,0.0002960998194572866,6,0.08389442443554887,ornstein-uhlenbeck,0.23202042999800515,2000,COMPLETE
85,3.634894847869873,2020-06-26 15:02:23.067251,2020-06-26 15:10:41.480326,0 days 00:08:18.413075000,100,10000,0.99,0.0031845395468377406,2,0.5126022381848013,ornstein-uhlenbeck,0.21018546064116578,100,COMPLETE
86,5.0131001472473145,2020-06-26 15:10:41.482087,2020-06-26 15:19:43.220359,0 days 00:09:01.738272000,128,100000,0.98,0.0006381041786371727,6,0.6080083664655039,ornstein-uhlenbeck,0.16952113542770245,1000,COMPLETE
87,3.054544687271118,2020-06-26 15:19:43.222093,2020-06-26 15:26:42.346490,0 days 00:06:59.124397000,16,1000000,0.95,0.0012117486377051958,2,0.42134513846473054,ornstein-uhlenbeck,0.5238729408968668,1,COMPLETE
88,3.115579843521118,2020-06-26 15:26:42.348255,2020-06-26 15:36:06.983324,0 days 00:09:24.635069000,128,10000,0.9999,0.00042045247393806266,8,0.02519474492368401,ornstein-uhlenbeck,0.14551770157451854,2000,COMPLETE
89,0.8664295077323914,2020-06-26 15:36:06.985089,2020-06-26 15:44:53.516522,0 days 00:08:46.531433000,100,100000,0.98,1.3615831358185135e-05,6,0.9338888533356444,ornstein-uhlenbeck,0.05613045539938587,1000,COMPLETE
90,3.9114437103271484,2020-06-26 15:44:53.518346,2020-06-26 15:53:44.180889,0 days 00:08:50.662543000,100,100000,0.98,1.3743697226962816e-05,6,0.9395385230977831,ornstein-uhlenbeck,0.059009310192736406,1000,COMPLETE
91,2.8708388805389404,2020-06-26 15:53:44.182712,2020-06-26 16:02:24.533607,0 days 00:08:40.350895000,100,100000,0.98,2.0210166708933182e-05,6,0.8330162995598912,ornstein-uhlenbeck,0.104835753322219,1000,COMPLETE
92,5.475127220153809,2020-06-26 16:02:24.535353,2020-06-26 16:11:17.980763,0 days 00:08:53.445410000,100,100000,0.98,1.0523370899235824e-05,6,0.9348800186412829,ornstein-uhlenbeck,0.01696019603193964,1000,COMPLETE
93,4.067156791687012,2020-06-26 16:11:17.982605,2020-06-26 16:20:07.869631,0 days 00:08:49.887026000,100,100000,0.98,5.357115264615668e-05,6,0.9866496820812876,ornstein-uhlenbeck,0.07979438219694944,1000,COMPLETE
94,1.7557302713394165,2020-06-26 16:20:07.871538,2020-06-26 16:27:27.631223,0 days 00:07:19.759685000,64,100000,0.9,1.7514106097348882e-05,2,0.5806245627567659,ornstein-uhlenbeck,0.13705450739186814,1000,COMPLETE
95,2.6979362964630127,2020-06-26 16:27:27.632991,2020-06-26 16:33:54.896425,0 days 00:06:27.263434000,64,100000,0.9,3.0123685377015967e-05,2,0.5785468572615389,ornstein-uhlenbeck,0.11139776852968178,1000,COMPLETE
96,7.574190616607666,2020-06-26 16:33:54.898185,2020-06-26 16:40:28.205576,0 days 00:06:33.307391000,64,100000,0.9,1.959520505277495e-05,2,0.5347954043518406,ornstein-uhlenbeck,0.04536302528492273,1000,COMPLETE
97,2.260899305343628,2020-06-26 16:40:28.207322,2020-06-26 16:47:02.518273,0 days 00:06:34.310951000,64,100000,0.9,3.981733142560087e-05,2,0.6385986252979092,ornstein-uhlenbeck,0.016628247202150614,1000,COMPLETE
98,7.691527366638184,2020-06-26 16:47:02.520059,2020-06-26 16:53:34.959023,0 days 00:06:32.438964000,64,100000,0.9,1.5663410624740904e-05,2,0.7033714372188933,ornstein-uhlenbeck,0.05756332494251967,1000,COMPLETE
99,6.270796298980713,2020-06-26 16:53:34.960799,2020-06-26 17:02:44.206582,0 days 00:09:09.245783000,256,100000,0.995,1.0277611254511354e-05,2,0.7740808814902846,normal,0.09073654176578926,1000,COMPLETE
