number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
52,0.9254152178764343,2020-06-23 00:25:50.682194,2020-06-23 00:26:30.551287,0 days 00:00:39.869093000,0.023288575450490172,0.99,0.00012150221966040356,constant,1024,0.6735078669544214,PRUNED
53,1.1256332397460938,2020-06-23 00:26:30.694480,2020-06-23 00:27:08.842434,0 days 00:00:38.147954000,0.010922295170042451,0.99,3.833958933550706e-05,constant,1024,0.46084693242294766,PRUNED
54,0.9561269879341125,2020-06-23 00:27:08.950258,2020-06-23 00:27:52.040076,0 days 00:00:43.089818000,0.06698513079796162,0.99,3.4991896438796516e-05,constant,1024,0.5832651470997566,PRUNED
55,1.1214922666549683,2020-06-23 00:27:52.153182,2020-06-23 00:28:27.667460,0 days 00:00:35.514278000,0.0005231479701747543,0.98,0.00021063810147186273,constant,512,0.7703097380797799,PRUNED
56,2.806975841522217,2020-06-23 00:28:27.810779,2020-06-23 00:28:56.843922,0 days 00:00:29.033143000,0.003972007372968532,0.95,0.5355466751810485,constant,32,0.05532892253306287,PRUNED
57,1.2251352071762085,2020-06-23 00:28:56.946551,2020-06-23 00:29:33.643518,0 days 00:00:36.696967000,0.009413020726966991,0.99,0.0010742105019539649,linear,64,0.5342657182388744,PRUNED
58,1.3396987915039062,2020-06-23 00:29:33.750685,2020-06-23 00:30:21.365698,0 days 00:00:47.615013000,0.0001331498825166467,0.95,5.509087981723147e-05,constant,16,0.4085870795679185,PRUNED
59,1.183626413345337,2020-06-23 00:30:21.484337,2020-06-23 00:30:59.916007,0 days 00:00:38.431670000,6.782332683426245e-08,0.99,0.0001535948415112687,constant,2048,0.3599428734844501,PRUNED
60,1.5079988241195679,2020-06-23 00:31:00.050872,2020-06-23 00:31:36.176673,0 days 00:00:36.125801000,1.06146814999479e-08,0.95,0.015634384875115776,constant,128,0.45626005155563665,PRUNED
61,1.7063366174697876,2020-06-23 00:31:36.282602,2020-06-23 00:32:02.102103,0 days 00:00:25.819501000,0.0015779407303270156,0.999,0.1086003440361137,constant,1024,0.28222678184455485,PRUNED
62,1.5508091449737549,2020-06-23 00:32:02.237263,2020-06-23 00:32:42.181064,0 days 00:00:39.943801000,0.0071386610764902075,0.999,0.06628903566377221,constant,1024,0.1873851678192495,PRUNED
63,1.2129055261611938,2020-06-23 00:32:42.339801,2020-06-23 00:33:22.497490,0 days 00:00:40.157689000,0.03785056479915122,0.999,0.03667060723077215,constant,1024,0.4836529617123049,PRUNED
64,2.942302942276001,2020-06-23 00:33:22.617183,2020-06-23 00:34:04.798704,0 days 00:00:42.181521000,0.02085546603017957,0.999,0.9772617665058957,constant,2048,0.25072171896354123,PRUNED
65,1.5313814878463745,2020-06-23 00:34:04.927627,2020-06-23 00:34:45.682092,0 days 00:00:40.754465000,8.75957969262447e-07,0.9,0.2835082490465471,constant,256,0.30635280304436874,PRUNED
66,1.8598644733428955,2020-06-23 00:34:45.827286,2020-06-23 00:35:11.488978,0 days 00:00:25.661692000,0.0025404886125518634,0.9999,0.007980975337425146,constant,32,0.43452412780390987,PRUNED
67,1.1282697916030884,2020-06-23 00:35:11.605191,2020-06-23 00:35:50.964908,0 days 00:00:39.359717000,6.469719430811593e-06,0.95,0.12325215278683964,constant,64,0.21375086247533379,PRUNED
68,1.5446555614471436,2020-06-23 00:35:51.101434,2020-06-23 00:36:41.059786,0 days 00:00:49.958352000,0.0013956851469958946,0.98,0.00414193816247476,constant,1024,0.3829210371637942,COMPLETE
69,2.9758996963500977,2020-06-23 00:36:41.061095,2020-06-23 00:37:06.740953,0 days 00:00:25.679858000,0.00021844341576877566,0.98,0.0022336038010386666,constant,8,0.6010757624835995,PRUNED
70,0.9027841687202454,2020-06-23 00:37:06.857264,2020-06-23 00:37:53.216325,0 days 00:00:46.359061000,0.001251773524506983,0.98,0.003956707933953108,linear,1024,0.3451876778066462,PRUNED
71,1.129686713218689,2020-06-23 00:37:53.407405,2020-06-23 00:38:34.093298,0 days 00:00:40.685893000,0.0005860178025099305,0.98,0.008092723128932054,constant,1024,0.3833191652462418,PRUNED
72,0.9230664968490601,2020-06-23 00:38:34.207048,2020-06-23 00:39:19.789118,0 days 00:00:45.582070000,0.00296656439724464,0.98,0.004278120512843103,constant,1024,0.520776859919704,PRUNED
73,0.9574314951896667,2020-06-23 00:39:19.909277,2020-06-23 00:40:04.651208,0 days 00:00:44.741931000,0.005978620789244062,0.99,0.03347180866882267,constant,128,0.4159637343612308,PRUNED
